year,ΔΡΑΜΑΣ,ΕΒΡΟΥ,ΚΑΒΑΛΑΣ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2010-12-31,12918.634722523426,16141.582686945183,17192.22348502506,13989.056381567525,13588.817305508834,14092.685650818594,17232.68244511581,13787.769548137168,13619.970847510274,13441.390433934852,11158.348162104405,15519.076075932715,11997.737969487498,12479.769741589647,20382.02023917126,18988.20160434959,11257.18492034964,16034.185597048976,14975.315404642326,12713.251061169649,13169.263299465349,16407.463497415523,14334.561322501406,13869.401609310888,22294.597135379907,17850.552615384062,20489.81138519313,16044.475966259846,13748.016946118641,17340.90717089068,13018.863391559324,24773.21801391233,16243.24343041293,12389.311957781196,16628.761854644756,14055.89450642741,18404.230836775092,18157.82136233592,16096.739797501004,14285.483563034557,14782.576910161628,15754.763933094717,16317.592821620989,15597.936752307894,18973.573350087394,25969.09648386782,17608.934293813607,17378.73961939811,16053.020360264074,17648.610047933533,27199.174845135796
2011-12-31,11145.201609895825,14524.82739094259,14661.363471869687,11866.326747751027,12212.944750599458,12893.298583711425,15647.157508593475,12588.712079650195,12462.247751439601,12623.031823930109,10202.551881116124,14694.016274595042,10965.471035129409,11887.51610046767,20090.315148402824,19278.41234653103,10165.39355273915,14224.266867139399,13930.843272823657,11413.446347083154,12296.10430092386,14426.805030756486,13155.65878345949,13151.825700708072,18814.789809510166,15759.253719368926,16899.79164654671,13900.834235699043,12514.03996213977,15221.594186166953,11818.929371655815,23920.398010054098,14587.514130360945,11323.58707111818,15002.665940827685,12479.282682467403,16394.3883106126,17149.94873436581,14862.03704758444,13332.795420276543,13779.055463935374,14346.727937640886,14846.853650736497,14268.562903601076,17417.402002929135,23230.621126107595,14985.281394992973,15521.583638351703,14597.112998166385,16042.24532767877,24796.1113701276
2012-12-31,10677.948496855752,13302.238385271847,14162.53447036073,10971.908975365901,11045.47051487809,12200.806674671314,14315.195702363517,11569.960595548677,12150.931814762058,11612.005620341499,10018.365574715144,14068.065561934762,10692.160335694356,11397.543491185945,22622.638754817857,20444.805272960533,9881.736656625535,13892.642409399661,12941.401730998714,11042.054563673155,11687.166042184004,13423.39324437237,11918.895866080284,11900.497037352676,18004.9079599477,14671.948309732948,15881.557918611968,13169.926009516614,12143.29918972313,14133.950966247065,11060.60146414699,23137.622872754408,13498.386548846298,10510.358414867795,13967.680147041054,11363.772656400683,15274.722425715463,16944.077211916123,14101.26704361283,12559.14397684968,13043.895101333828,13226.230288488143,13652.031142617056,13770.23615118518,16800.40502108214,20385.51760460375,13674.964607571028,14440.479958521768,13240.99030648493,14308.474754633278,22889.647838517107
2013-12-31,10526.888152516025,12099.203621233795,13085.579204723588,10358.924848343788,10561.118740702863,11706.427253076701,13485.331885908938,10921.91660931642,11316.372584659752,10986.02567076533,9749.565057507589,13355.548321410233,10071.985441334067,10882.236482922788,21678.101652929035,19282.201880691464,10133.190421571575,13221.729237624982,12383.062387121978,10839.438630063481,11607.990675815843,12856.267050236896,11661.350729093792,11752.301252131418,17029.380126508568,14388.011255658623,14988.445570070784,12557.526547208721,12092.15998273493,12944.67043209492,10480.30073000699,21857.880166447485,12972.912127031384,9904.932787551319,12871.954036225434,10912.906957769133,14636.26513031138,17218.17180022818,13572.269700614748,12248.484515979579,12063.629658810103,12936.883658980747,13034.970854085135,12731.63598492692,15791.729785579228,22034.400457027255,13396.564167714672,14841.048868286909,13047.704489953972,13923.049450755914,22157.656560174415
2014-12-31,10205.360322697907,11898.42287667167,13452.486964732725,9796.750507323757,9911.538616513471,11123.021556987276,13266.747152587217,10928.418913152691,11235.087560375774,10694.199678703302,9548.440884016989,13198.184137026858,9986.021596577193,10856.932650697676,20865.951942808144,20500.31360994894,9756.463608227154,13432.955715608097,12123.46733307744,11086.504717456335,11406.495147693835,12859.30337459984,11364.929327279506,12222.738359686871,17642.09194546021,14767.629451664525,15521.371946561161,12477.055936890663,11650.038609567717,12929.796441874378,10544.651905379294,19648.860080384686,13204.839832066169,9615.603662266782,12967.673469403491,10666.586446423784,14464.40289425305,16864.999397351065,12621.121375822486,12167.239201071048,12224.450277770242,12989.262212489533,13151.43429879183,12568.025101548072,16039.510750612066,22340.90028478234,13729.29181521946,15204.818692595103,13154.906831643691,14327.487362471118,22022.72106470022
2015-12-31,10587.520125651628,11931.114856980832,13172.669742793878,9845.201015138166,9775.684995077207,11175.668982206578,13546.02664038714,11497.85465223555,11665.443677308855,10895.294125008426,9955.95060402326,13197.214508281291,10112.658600927203,10732.14504284423,20054.552393383157,19016.716367113466,9833.696607218559,13805.82780307132,12349.326268485933,10947.580249333527,11276.435729970668,12126.870104755157,11431.211215296486,12187.443362181357,17589.678722627603,14619.781833206172,14723.227148641003,12189.276050899005,11559.662522750421,12837.742021966444,10852.410097608848,20267.842220270017,13320.819933693589,9798.8860828727,13053.206151843398,10602.153065900939,14795.989879356033,17455.653909314107,13025.556992026375,12449.565589844346,12358.643599944156,12854.574066537893,12748.062333378044,12197.258490076312,16125.838853173904,21540.140912130282,13533.277147957464,15655.13907754287,13379.514813289456,14365.071926290278,21992.40117793897
2016-12-31,10422.062236133568,12085.34964747232,13126.324364814862,9505.146732412639,10499.056917259473,10995.991308117302,13677.303036118863,11541.711844617535,11423.808241305724,10790.640615357288,9922.18170459423,13191.747610036016,10120.054968541503,10486.145855391947,18125.771856259402,17785.721052637484,9915.59611416668,13529.827724793322,12293.565417699856,10805.920483616028,11189.356146338676,11689.902545275654,11635.680780712626,11791.339975571162,17183.87986425745,14550.914519465994,14433.318818672758,11998.714694651057,11400.011926647241,12618.855245028331,10557.117928949574,22088.310838646616,12998.198410146511,9845.859936433355,12856.290212081876,10604.913194682815,14616.008679831308,17559.519826267984,13460.607077914896,11903.289901887521,12278.405750922251,12240.093465150307,12285.323099073754,11884.00071249239,15399.312435226231,20687.715405291106,13145.26042904842,15385.442277275855,13047.366930008951,14001.197694140832,21974.671687397342
2017-12-31,10149.18110539267,12060.2371530004,13485.946569374142,9541.864043580445,10469.371165747034,10952.95679805108,13916.38956598715,11154.734003210402,11567.138744413476,10790.736067144027,10044.830682760732,13299.81353087014,9881.61215124441,10248.349277936215,18120.632675803998,18601.450781238163,10123.518301100523,13813.960083707268,12344.883443892437,10842.22252131137,11114.292021543564,12030.67177190005,11540.939999176577,11745.8938632306,17263.18222526242,14713.693247961804,14707.182103105552,11876.062893008637,11204.730554658263,12728.525262647432,10971.470765141516,22401.585174218417,13325.993355752758,9930.275879034705,13201.731613614085,10784.523433031385,14872.862898210671,18177.29984706352,13465.140400038435,12461.988350195974,12468.72269876038,11879.562922083867,11812.535013982839,11380.658508020191,15310.223628650629,20985.248724224442,13543.069406934,15737.723293472221,13187.34358629157,14287.019923246813,22452.895161610006
2018-12-31,10401.155944840915,12113.961566591062,13836.183762346425,9740.250167362296,10448.726378420599,11230.351066760128,14271.070857880653,11251.853906874136,11972.324472357432,10979.32473848192,10243.660890550176,13755.25722622663,9758.52390402681,10390.016096666139,17781.77526373942,17459.63751951908,10381.588120783046,14100.258972756072,12632.415006584237,11135.893248428441,11555.813984768018,12346.634253029953,11694.67432695053,11839.022226601775,18306.8877163156,15197.79685964943,14921.60831961337,12598.978007914639,11696.873394095433,12926.534900541072,10991.52989278044,22375.644449878506,13697.633005669235,9999.469879060009,13361.46420401792,11041.717461378985,14992.669963357446,17961.576283923587,13647.982783674546,12524.975679828593,12494.986482527842,11618.560568220999,11432.078374185994,11001.782705947302,15663.145587339663,21733.350720837097,13751.668918604888,15960.093820759525,13671.914734519483,14598.532867771124,22854.074266822554
2019-12-31,10441.464414788572,12341.570216611703,14201.640815055076,9803.091546586209,10516.966793841411,11309.86970336406,14590.440379804713,11464.774689070355,12432.398082974332,11330.513537159004,10524.97147945105,14107.346387379876,9843.8000495117,10735.456865971657,15782.840360773082,16134.287722283245,10856.302933170296,14571.17518192587,13098.796137240806,11560.080573402085,11898.762442181182,12811.996821294979,11973.77175867349,12087.729739935949,19250.35752883262,15859.075762602568,15562.053262969417,13155.04194463275,11829.742298373243,13423.478089307715,11380.689219350852,23228.2452921209,13725.333597567535,10290.934331240529,13553.800419795465,11186.724406735973,15506.045490123146,18453.75347104833,14092.875048330427,12941.945352584211,12835.739952632288,11380.35757722045,11402.430846992465,10943.158843184516,16266.644610531268,22778.774126196127,14056.248637357196,16726.55540295427,14324.769647381818,15214.271568431293,23341.397309093467
