year,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΪΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ATTIKH,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ
2022-12-31,146512.58299517754,111150.98806555886,109040.27341050674,96504.06974371382,132321.37857152123,141256.72989184133,1098122.8990547531,80173.0,136074.9175927004,131512.8161457565,165675.58311181597,110508.39430912951,30464.00271812697,46033.68394807567,135853.69826247866,48846.710024769425,103791.29251580618,278989.9547686521,202865.77482627862,130429.12755987897,60043.49434723079,45020.49990114698,167920.24555554744,57801.0899891101,39548.95023381817,101661.28807736233,38481.4264803799,23714.21283894907,196097.45171700246,293447.4707373531,154335.7595270084,122003.6768948395,212678.2965196774,18391.300824751834,156887.1488581337,42081.22522331273,96741.13092009717,79171.09941182536,147084.92470879637,90243.14308741102,157755.36609896482,3765345.769195712,103494.53328349623,42307.91318647291,53763.3069090165,213880.78786748688,126752.06398176696,316271.68378583115,74262.64100613062,88111.35389035412,160192.23981023385
2023-12-31,146294.5715320359,111103.03818550461,108482.7180688606,96482.19711639638,132252.2740773518,141234.60967782894,1100683.5856404663,80173.0,136128.03151075466,131388.0061052257,165981.4764262942,110509.90174621911,30463.868157896446,45991.029181609294,134538.45753506146,48748.69734881983,103490.6469029025,278712.4252911957,203134.33388465203,130454.69172918245,59116.906411703996,45002.27564181428,167955.24770714596,57762.648870903715,39514.48041518927,101721.84383692751,38481.42639390034,23661.188380114585,195082.54044490174,291100.0729749826,154345.8689432991,122240.88141649449,212661.66833323182,18136.40190457682,156446.54845431008,41881.368752718656,96675.61325461391,78378.28931215151,147021.40651139026,90217.9955511193,157872.45848171995,3797083.029471363,103494.53328349623,42189.93981878141,53851.01137367871,214962.59975753524,126743.72460026345,317001.6564981835,74302.79710690852,88241.76435928281,160342.75538863736
2024-12-31,146107.4367610657,111056.91924631875,107975.04326031727,96461.18688197667,132326.08219438157,141218.42278502887,1102337.9653389782,80173.0,136363.3232794094,131265.92681670387,166562.28626263633,110511.0005829756,30463.842345934347,45981.98168454777,133110.42748759134,48710.175171640134,103310.89191922681,278642.27063225117,203590.92627674725,130430.43022600932,58242.13718240415,44984.332479962126,167987.45782966595,57736.526012386246,39503.91774913204,101848.03732744757,38481.4263074851,23687.287102306615,194212.96309340655,289146.76771833585,154537.31761854075,122479.05436187197,212695.4561391863,17893.53409304654,156179.1386934408,41698.79665382856,96525.30606131483,77752.56377169481,147124.19648483093,90197.0556980443,158099.16595431237,3827731.0486719436,103494.53328349623,42175.54658433274,53937.60735067296,216022.85454767992,126738.61045669527,317698.2596659655,74263.14314451351,88362.3929822969,160476.26973309007
2025-12-31,145958.15868088105,111012.56133449034,107536.9775465497,96441.00503806901,132537.5367360684,141205.84858784237,1107476.7544671572,80173.0,136769.00950010063,131146.51853334284,167383.8517396668,110511.70505503655,30463.8373945651,45995.02703503673,131753.27201565797,48724.6901014626,103395.63556050608,278782.67920359474,204187.02109577335,130453.45544264092,57409.02210214535,44966.66607984264,168017.0986358842,57718.774090252766,39507.553659119716,102030.91887439955,38481.426221134134,23685.307212465494,193615.64580748952,287664.45431489585,154860.67649796754,122717.12060491834,212656.10416153556,17747.194780429363,155843.4857614638,41542.40841244812,96453.81262838506,77023.71179016274,147212.9029746335,90179.75551268825,158421.1393664103,3863092.9643566166,103494.53328349623,42297.78041658961,54023.24340169074,217093.53610453501,126735.48731891597,318363.01872497227,74303.29905896328,88473.97347740445,160594.69948448782
2026-12-31,145852.28753610162,110969.89720611897,107184.65434940415,96421.61892293213,132875.85030750316,141195.6343640648,1111587.958294859,80173.0,137327.98528269792,131029.72281551168,168409.33221329044,110512.09503301408,30463.836444770684,46022.516616828376,130454.84826108268,48786.10947570866,103599.3701124593,279127.0729710074,204860.15094059226,130431.60351544792,56521.65238834797,44949.272172584075,168044.3750733682,57706.71068075941,39517.3588311176,102261.17058882944,38481.42613484739,23707.15267615507,193176.95408766798,285967.2892817485,155171.91661955035,122954.64360650939,212690.53225084397,17617.71265609065,155675.14778179026,41413.79710285812,96467.25703709731,76465.71038260976,147379.8046027703,90165.35758839107,158822.80998960076,3896394.097144355,103494.53328349623,42680.53076452482,54108.03727758674,218142.30253720577,126733.58544333182,318997.38937812124,74263.64501547896,88577.18452779499,160699.74817653032
2027-12-31,145793.52291130446,110928.86218497707,106930.05233526674,96402.99716261034,133325.24088219134,141187.66416682926,1116108.201199979,80173.0,138017.49142504137,130915.4825021956,169600.2302065471,110512.3077671854,30463.83626257675,46059.37069397172,129048.25671132712,48886.44123941362,104064.36177604142,279659.41559924796,205540.24728957168,130452.34194017974,55744.88296883271,44932.1465551593,168069.47574155984,57698.512929129465,39542.6938364934,102529.341660417,38481.42604862482,23750.88364265262,193019.17988912817,284806.199823258,155686.87127337852,123192.0459211109,212668.15535093477,17537.22372128383,155433.22183816094,41346.840909798164,96398.96455545267,75847.48006493037,147559.67030508225,90153.49714782108,159287.87264993982,3922381.848798356,103494.53328349623,42877.012179710306,54192.082391644806,219201.13668219306,126732.42948816065,319602.76078318036,74303.8007436719,88672.65390989848,160792.92793890994
2028-12-31,145782.56680789354,110889.39406446474,106780.62968053443,96385.10962015875,133865.6534135284,141181.55344931665,1122610.6995380805,80173.0,138810.44167346472,130803.7416830209,170917.37171649447,110512.43068392217,30463.836227627475,46102.21657435434,127754.0726991987,49015.545833440854,104636.7429265798,280354.95915462147,206157.0167746916,130432.66027747975,54918.01507934237,44915.28508937014,168092.57419582232,57692.94210507485,39563.23748025704,102826.0641503302,38481.425962466375,23757.368660872973,193023.99318651645,282778.22033505124,156148.07305839093,123429.4646950799,212675.70019016883,17396.584728515227,155353.64295638114,41327.22430883627,96281.81288741494,75330.88691935471,147688.510532305,90143.62645010807,159799.7486518045,3943199.480587275,103494.53328349623,42797.39738235234,54275.45293241868,220237.7043184516,126731.7278172057,320180.4585947737,74264.14661916942,88760.96231180635,160875.57980720207
2029-12-31,145817.5601509731,110851.4330133082,106739.1611392756,96367.92734687049,134473.64401370232,141176.88780871662,1126453.4972648015,80173.0,139676.31214872052,130694.44567089171,172321.82550897554,110512.51357634857,30463.836220923342,46148.81589986177,126467.65016901337,49163.41743295384,105454.71127048072,281181.3945968873,206647.1679014582,130451.33902727129,54132.89363926317,44898.683700847505,168113.83014746642,57689.15642309174,39588.51692924507,103142.24649791753,38481.42587637201,23801.71861598058,193308.96811441818,280996.99656744447,156690.338258667,123666.93249941959,212681.67222500392,17235.517409002598,155195.8732280743,41362.44672552373,96271.87324878717,74852.6826653685,147847.5565933504,90135.52053279066,160342.01862398136,3954733.0720155877,103494.53328349623,42671.069418417836,54358.20790205726,221283.98736361982,126731.30227814356,320731.7478673273,74304.30216117678,88842.64686527992,160948.89325903688
2030-12-31,145894.60602884387,110814.92148485935,106803.77798670044,96351.42253542693,135123.38812717953,141173.3117511057,1131824.9455799789,80173.0,140582.37335174202,130587.5409752257,173775.74578773373,110512.56405029676,30463.836219637324,46197.68406786815,125099.70427949069,49320.08477096959,106358.19604770919,282100.35257635306,206960.91713689195,130433.61208523937,53408.5342061472,44882.3383780668,168133.39056805396,57686.58384353498,39612.76726427,103469.24269909027,38481.42579034168,23805.37991338604,193751.0955651638,279700.3922481864,157302.7384224789,123904.42720901876,212666.4260483025,16985.85071993619,155196.08422420532,41449.216675082476,96296.4421400507,74374.30488709513,147907.6700317287,90128.76679303573,160898.8169505149,3952686.2725835727,103494.53328349623,42371.033637570436,54440.394305936694,222307.6593749812,126731.04436051563,321257.8358253107,74264.64795572721,88918.20441282947,161013.9233944352
