year,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2010-12-31,842.0,1376.0,1501.0,1462.0,1086.0,1507.0,12702.0,750.0,1343.0,1401.0,1241.0,1024.0,241.0,432.0,1473.0,516.0,950.0,3291.0,2134.0,1161.0,547.0,399.0,1689.0,580.0,476.0,972.0,426.0,231.0,2004.0,3535.0,1380.0,1255.0,2091.0,130.0,1407.0,257.0,1066.0,739.0,1524.0,760.0,1518.0,1016.0,369.0,559.0,2339.0,1287.0,3938.0,848.0,1084.0,1823.0,41869.0
2011-12-31,800.0,1233.0,1439.0,1361.0,971.0,1369.0,11707.0,717.0,1253.0,1261.0,1158.0,1035.0,222.0,392.0,1316.0,427.0,801.0,3258.0,1926.0,1035.0,561.0,377.0,1539.0,491.0,360.0,1010.0,353.0,232.0,1864.0,3292.0,1365.0,1057.0,1857.0,121.0,1224.0,229.0,904.0,673.0,1357.0,662.0,1403.0,932.0,341.0,488.0,2079.0,1156.0,3551.0,691.0,938.0,1766.0,39564.0
2012-12-31,803.0,1115.0,1313.0,1224.0,870.0,1284.0,10815.0,693.0,1236.0,1139.0,1126.0,900.0,225.0,386.0,1313.0,397.0,739.0,3160.0,1673.0,867.0,480.0,335.0,1436.0,467.0,389.0,903.0,343.0,190.0,1735.0,3026.0,1136.0,1073.0,1834.0,130.0,1118.0,198.0,918.0,668.0,1277.0,706.0,1259.0,885.0,368.0,508.0,2137.0,1201.0,3532.0,733.0,947.0,1711.0,37266.0
2013-12-31,731.0,1120.0,1276.0,1114.0,862.0,1206.0,10144.0,566.0,1168.0,1079.0,1111.0,864.0,170.0,387.0,1214.0,380.0,753.0,2737.0,1603.0,931.0,484.0,352.0,1347.0,461.0,391.0,950.0,340.0,191.0,1583.0,2947.0,1134.0,978.0,1721.0,103.0,1123.0,225.0,803.0,579.0,1258.0,645.0,1148.0,817.0,369.0,453.0,2008.0,1086.0,3168.0,691.0,878.0,1602.0,34715.0
2014-12-31,684.0,1081.0,1161.0,1137.0,790.0,1154.0,9676.0,572.0,1052.0,982.0,1027.0,837.0,167.0,342.0,1230.0,400.0,804.0,2476.0,1621.0,907.0,420.0,356.0,1328.0,410.0,393.0,897.0,324.0,206.0,1557.0,2866.0,1049.0,984.0,1689.0,101.0,1051.0,219.0,853.0,565.0,1227.0,612.0,1150.0,881.0,342.0,432.0,2073.0,1144.0,3191.0,689.0,889.0,1590.0,34453.0
2015-12-31,691.0,1121.0,1223.0,1045.0,870.0,1108.0,9799.0,538.0,1072.0,1010.0,1067.0,805.0,151.0,358.0,1175.0,393.0,787.0,2499.0,1599.0,933.0,477.0,308.0,1289.0,415.0,402.0,875.0,329.0,187.0,1618.0,2813.0,1058.0,941.0,1649.0,93.0,1058.0,207.0,834.0,570.0,1247.0,545.0,1124.0,862.0,323.0,461.0,2018.0,1110.0,3182.0,663.0,904.0,1621.0,34265.0
2016-12-31,695.0,1061.0,1187.0,1095.0,830.0,1055.0,9919.0,614.0,1100.0,1022.0,1033.0,852.0,166.0,312.0,1113.0,404.0,785.0,2468.0,1561.0,877.0,425.0,293.0,1321.0,427.0,419.0,884.0,293.0,211.0,1589.0,2811.0,1071.0,976.0,1712.0,99.0,1085.0,227.0,847.0,531.0,1199.0,611.0,1197.0,914.0,373.0,463.0,2162.0,1249.0,3326.0,675.0,932.0,1686.0,34571.0
2017-12-31,675.0,1013.0,1203.0,1098.0,791.0,996.0,9145.0,499.0,1013.0,973.0,984.0,813.0,147.0,334.0,1134.0,371.0,672.0,2390.0,1563.0,873.0,441.0,296.0,1228.0,372.0,408.0,827.0,312.0,200.0,1481.0,2694.0,1049.0,916.0,1734.0,95.0,972.0,187.0,836.0,525.0,1156.0,561.0,1161.0,944.0,331.0,491.0,2083.0,1231.0,3124.0,672.0,844.0,1611.0,32968.0
2018-12-31,614.0,914.0,1061.0,1066.0,726.0,996.0,8965.0,473.0,926.0,943.0,942.0,778.0,158.0,300.0,1052.0,310.0,756.0,2279.0,1459.0,835.0,385.0,251.0,1210.0,376.0,454.0,852.0,318.0,194.0,1493.0,2533.0,976.0,922.0,1579.0,87.0,1032.0,183.0,758.0,526.0,1187.0,553.0,1092.0,1012.0,405.0,474.0,2054.0,1275.0,3093.0,655.0,891.0,1602.0,32351.0
2019-12-31,601.0,887.0,1029.0,999.0,701.0,1029.0,8564.0,460.0,953.0,938.0,869.0,763.0,200.0,302.0,925.0,335.0,681.0,2212.0,1380.0,820.0,399.0,281.0,1168.0,371.0,412.0,835.0,279.0,190.0,1509.0,2454.0,1033.0,810.0,1447.0,100.0,911.0,146.0,745.0,503.0,1075.0,532.0,1071.0,1030.0,405.0,462.0,2144.0,1258.0,3147.0,640.0,881.0,1598.0,31137.0
2020-12-31,607.0,984.0,999.0,980.0,685.0,962.0,8607.0,515.0,928.0,867.0,931.0,747.0,205.0,289.0,977.0,337.0,698.0,2217.0,1411.0,824.0,395.0,265.0,1170.0,372.0,443.0,779.0,296.0,203.0,1491.0,2573.0,974.0,867.0,1684.0,77.0,914.0,175.0,713.0,533.0,1100.0,530.0,1130.0,1216.0,527.0,571.0,2149.0,1268.0,3047.0,630.0,945.0,1577.0,31256.0
2021-12-31,470.27990286294033,998.5723078303685,931.6312026117745,1020.928747593088,656.4066368442458,701.7170509179508,6642.111396130075,417.7327583211048,822.1357744874142,770.2287684409478,765.718761718058,709.7092790044283,199.4486690001646,242.988219691309,889.2501948453599,288.9819271511829,598.8305116631379,2186.818712440031,1287.34639032487,756.6763879498543,392.2290245496753,280.0223738026649,1135.818447510247,354.22271731642417,424.89977303662914,751.0436487971268,278.8565420425251,191.29206841251573,1410.2799074078023,1879.74930432391,974.8504084982325,716.8554070399017,1624.8702901235697,71.70634856501766,834.2543254826833,174.93032975042354,644.1380730956618,540.6235491972977,1061.975531041124,490.2362172232914,1099.239503912893,1162.2392764239794,506.21717770539504,541.714136711832,2149.546270734894,1279.6440021942428,2992.6776471300464,622.815378733575,637.8973967870248,753.1046325909128,22688.457861975618
2022-12-31,564.7320097757294,882.2965023211973,888.8358203695909,955.0891341291363,585.4307466859948,885.0743696408407,8568.27325362696,411.8734343296061,794.9926883654531,759.8581601767486,734.7390969761326,684.7793927479123,214.08197874613472,301.85363582484285,836.6805631577198,311.64375633774785,574.1629481453308,2156.691937762523,1277.6364832560525,814.1786414291981,377.6318049799444,269.66764628116704,1110.7012291148685,346.30433892514986,393.8825095322324,744.261015153526,286.975915304914,196.64366595747907,1562.9792369040672,2096.406114992711,997.0548377012219,804.7692956127992,1615.3090151719716,73.89495758038989,829.3517837652131,192.1887862307177,730.3620392833519,543.4299725240969,1028.931890684966,478.24020035960626,1107.702285761222,1158.3317944634177,586.9224841017628,546.9607652624562,2154.218186659658,1290.594433388986,2919.514364637528,588.3201052435531,897.6896700385544,1562.455237939314,30026.67693429735
2023-12-31,560.8367493715634,821.0699129254058,829.5040769070082,858.4262846765391,534.3011331199613,840.4513635573883,8417.246878340186,396.2020976483608,835.880223249721,687.1604635370282,642.0914985569437,648.4142428038716,214.5726510239456,307.9443316789691,781.9044378148603,309.590146779489,584.416579597591,2126.559462834396,1208.5751457949877,800.2298201709427,352.1208019174187,271.8430484357454,1090.5397371365868,335.3686449431997,379.0671551045737,707.1089030330304,280.65422409901083,197.3675632920156,1524.5668952766546,1591.3925115193847,938.4070065696266,748.2104342221105,1605.7507694703756,54.87881537530224,789.9945455115637,217.82274311554642,701.106435200495,550.3513976356882,1033.559914791111,445.7663682012398,1085.4581992734138,1115.1249223706482,610.0704870952457,515.870334125433,2158.8908414364982,1301.5465745391143,2972.5748589406135,561.6666129733165,891.2937746887875,1503.4088175355548,30464.528979011935
2024-12-31,541.2293793251035,766.090734087369,773.6686060797639,838.0479674337109,485.7669910657851,807.5746252346452,8148.72638736633,396.2354103612478,810.864838219498,654.4300628737016,603.6347321653304,612.5474319972155,200.21223844234834,289.91171237112803,695.3037764831483,261.3723102326266,553.6685611161347,2096.4232782235154,1173.7433659681576,805.6963832640922,340.58397271032,273.90370400818017,1076.1178425150642,327.6778348887643,386.1628971757288,686.1920928243941,282.48206074950883,195.16435658119173,1489.3860236951332,1631.222864885109,931.519166806105,725.4395839540251,1596.1955490715172,60.31579381059902,732.3870736293593,209.72005406477012,697.477707877522,546.7302272501986,956.5053830856439,424.47526144544304,1061.285299283927,1116.7405923249908,642.3358263252125,512.9044869844367,2163.5642346185537,1312.5004234195048,2907.395708702009,546.9003995312363,896.2230530297579,1558.6604212958525,29507.409469990125
2025-12-31,540.8736137461977,712.7515622798118,712.9840704518292,763.1175368965166,431.57363578133777,720.7143022671376,7888.299112349439,318.0521897794919,719.8825036155151,606.3350913613513,548.869012755601,574.1986174026536,201.46257847504853,300.53080283176786,635.2782560073472,234.20158925517734,545.1473930159897,2066.2846793773565,1083.624861278301,795.6211142327795,321.96476590274045,275.88122613122147,1068.1665341931339,320.6505668476887,367.77115774931104,656.2693186408993,283.60324250027577,195.9431284638806,1521.3332791415587,1166.6597679709594,886.924231494075,685.9433491106142,1586.6433500332753,49.39861650818793,685.2222781887632,207.06994818396768,718.0879663789004,560.3078461286759,943.8472816212192,391.95858470260305,1035.873478502341,1081.4887325582126,676.1592940492784,494.1102130214049,2168.238365759233,1323.4559778079295,2926.111590041545,521.3796624475352,938.8990171931259,1468.471082157439,30008.717563683596
2026-12-31,527.1172131065116,658.9551530409964,650.9118108532646,696.4170237527651,377.35557921327666,766.7367758117687,7714.943282708741,294.5715605968973,711.5728910249844,554.5487344293856,508.77637273019195,533.7570879668409,211.74260861054046,289.396152159899,552.5001525487564,245.44311644985797,507.9455234856256,2036.1445093639672,1048.5459416794665,797.993970763173,305.45087700336217,277.7550492819823,1067.3576984081853,315.7685385929264,371.4067635834696,630.9694468018462,282.89736504264,194.94832989434266,1535.5328658078538,1238.2540002558003,866.0596922099501,655.7797129509827,1577.0941684186657,46.77643839180046,625.7395631370882,188.47696134888497,694.5926734243444,559.4908575320408,909.6739082612143,366.56199054522136,1009.404480548674,1086.7063221055678,709.5913994681596,498.11586789036164,2172.913234412216,1334.4132354850524,2892.3975349610146,502.8688157035366,902.7839644267729,1536.7881464679056,29081.51297067171
2027-12-31,519.016222781709,603.7468614594768,586.0080281373121,660.9173131642465,319.1795169483646,646.6808913023261,7443.818334543629,291.1034903074425,744.6716324564958,508.2645419674346,449.990484986203,491.79091949856553,207.1271903817552,296.1176832375319,474.58278093156616,219.99053240609305,470.44557993954663,2006.0033168460664,988.3928058576962,790.4036007828132,287.03341735174325,279.5561582575582,1074.298436294781,312.62033265658783,360.52816977971304,600.8590428068889,282.90377946138636,194.63777518262242,1486.4562263200191,799.0430531474024,826.7024753866366,618.1765949795104,1567.5480002958343,39.480346779338724,572.6916648027319,169.05185062472987,716.6394933357781,559.1165951668056,840.4634541029192,333.26825024773774,981.9261835102849,1057.5127697531498,746.0708044206399,483.3267241184227,2177.588840131451,1345.3721942344255,2888.9746413976077,476.8812305018534,895.8581829202772,1458.0975935509975,29553.992896671392
2028-12-31,511.2914797089566,546.6921426247403,518.8705657961149,561.0916693934987,259.83892608363425,686.6581105075361,7410.863983819689,268.39253400125693,682.4509384685934,437.63941830772376,386.9087362167376,448.1834277540023,197.65041068424398,282.164122427836,393.1585791986329,183.7292659811926,439.44183114772403,1975.8614588894663,936.7620246507668,790.7945865939141,268.46161247503045,281.2634006497593,1089.5259677271922,311.6472361811625,360.5793067354334,572.1818682537041,281.60535632156564,194.2710013172091,1498.9026253479155,896.3435668264121,797.8367100285607,582.6292153689132,1558.0048417380501,33.352646330347184,510.5195230970219,171.41444348543013,698.9128750490227,550.800092832701,854.2795802577874,304.3724079436509,953.4512002714606,1064.9828981922014,783.6796886674963,491.27963704850066,2182.2651824711575,1356.332851842485,2869.031009246326,455.1506389973888,889.4674167032975,1516.6678333668838,28664.415139633602
2029-12-31,500.49601567322316,487.5931959965141,449.2495164512778,519.9920135978656,197.3243134450068,578.337642319429,7240.018154683805,196.38286972664832,603.4231428733847,381.31988947821685,309.7252113605314,402.8540878022609,201.263785125364,291.77132797056356,306.0844973769575,185.918666140457,404.85918501956564,1945.7191678700715,842.6191288344205,784.798829663124,248.97222852119856,282.9072018440774,1113.5031640374161,312.8747870031928,344.0246588425962,540.7745297715265,283.99123334882313,193.79472492944006,1519.0354316351766,478.9254717918279,759.5323885029743,543.4334900952257,1548.4646888236991,24.496782285299854,452.0613368199801,174.9002082814178,692.1958483633514,555.4655308264809,760.2703697454116,269.81054337248224,923.982853539076,1040.457536224833,822.6417048464601,479.785722345751,2186.942260985824,1367.2952060985474,2857.6781045324046,428.0144453129434,933.4438735103661,1441.071874345996,29099.883152659244
2030-12-31,492.98432261961096,426.35998472754574,377.24807486072604,443.2757634173928,133.09463551606882,612.7514833167379,7213.787354034697,170.64389097243438,622.8477742751807,313.2014619672253,233.48530859223752,356.1075251936955,206.5059506929874,278.4653052872968,218.12252199118745,165.36911426004545,377.03612435322714,1915.5765950164755,792.0490537098917,783.9207421947647,228.89830218340165,284.46588756025915,1146.614746595722,316.4963681983393,340.6055363460082,509.4096445638802,282.4286547543684,193.41283068091133,1495.076623173428,597.7993267167523,725.4600406250272,503.9871033841172,1538.9275376362775,20.5833929634643,386.791260562316,189.33880376564053,715.662258234299,553.2992662517412,757.0570324469444,237.82273544465258,893.5220186387687,1049.2388863982944,861.7413934064061,489.1584750208656,2191.6200752302084,1378.259254794806,2842.0484394709138,403.5346627553922,909.4279454397397,1495.0660854917567,28247.307944362783
