year,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΑΤΤΙΚΗ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ
2022-12-31,146173.12508802093,110496.01919061085,109003.09089166073,96414.30104251034,131044.04622783815,140927.5304628357,1102465.8312330572,81550.30094658192,134738.5427302513,131450.56939631485,164297.76528591226,110060.64503502534,30220.156921190064,45205.39118186608,135832.9919231695,48421.89649232661,102278.55914965698,277193.35422512173,200859.22049379768,126915.66078464428,59955.813177797165,44801.062179675064,166979.2895330391,57592.20208063196,39465.70784158575,100491.87428928363,38340.51936677804,23689.059501960306,198663.44105858088,293411.9722260925,154099.39382716228,123206.73653994763,212186.8729464927,18143.621869388084,157434.43617397232,42229.65638336939,95163.0242146887,79084.33449457544,146675.59747302547,89717.34981199417,156196.3446783907,3700814.020711027,116295.7952309695,53007.46147143712,60058.8521358147,224827.828873234,126573.9636269519,315831.64470855595,73253.2186004802,87818.91199666537,160321.40527840614
2023-12-31,146249.21111841302,110251.07645612655,108612.69232834021,96528.06992280338,130156.35979550757,140787.6825022336,1101835.2767629065,80215.56159400771,134080.1260095854,131420.83379584964,163299.70638835334,109732.27437333185,30255.51083137891,44960.68298239422,134691.4892405201,48060.47098407687,102107.6174973439,275855.28805630014,200439.54452841115,126031.14198597748,58629.480531413545,44755.65878639327,166889.29782713857,57546.952298118325,39282.19268749141,100154.62677849393,38269.3077326411,23618.315358832406,197469.27288077152,289400.6638552273,153837.8680390113,123507.72688578114,212110.1881581935,17930.116691813797,156888.35959073514,42409.48979079832,94777.33795938327,78055.05263845403,146418.00943423045,89440.6070586885,155447.16788135437,3678933.6817347696,114646.71561254437,56263.71099608948,58810.10276982058,228416.29012000447,126626.95436605852,316189.4602777529,72993.11323013139,87902.98472803987,160518.19502543425
2024-12-31,145707.1399006801,110015.37952813151,108307.96559822446,96506.15870654557,129229.2648713522,140502.79031338074,1100814.3426128263,76485.45122102035,133260.32126800832,131561.55884211906,162446.79623512138,109438.07968713714,30107.98233485493,44816.370823020385,133151.63528699003,47717.626080043454,102295.61749501059,274716.6446123928,200047.8495449822,125485.90855948356,57240.50475958557,44712.24058154128,166756.53537489232,57464.61699090322,39031.64053760013,100019.26380243873,38219.28946104164,23603.887276013076,197250.5413350906,286753.53975253785,153621.31492790516,124074.96698190624,212063.71878395745,17719.05310685499,156412.66040653843,42407.47225930705,94333.19332399723,77000.67005956202,146330.7379177865,89078.3467131747,154596.1282525189,3656463.6972732916,114628.33001156751,56556.79167695954,58690.241427016896,232269.1792053957,126474.06617378358,316608.79807602084,72682.71130816684,88008.22993235574,160789.5850388173
2025-12-31,145745.2909738279,109834.58372820714,108104.65730484162,96809.86008102109,128262.57280644758,140172.27398784863,1099924.35132174,78908.26831669953,132396.36679243174,131560.46855386504,161756.02501549656,109196.26745565793,30188.25278014685,44791.5345510799,131385.2234701817,47307.98840802612,102027.72544533797,273264.9072307137,199620.92684039762,124732.45260261776,55796.28199435444,44674.710707447666,166697.8078066683,57406.10310928741,38774.76533518676,99899.14100646897,38193.47372724056,23575.588010143543,197435.8693930559,283038.6543178804,153397.83881708002,124625.85023383504,212048.45149360652,17510.095070396063,155881.67018148585,42336.99639604073,93826.57646513967,75861.78408600563,146034.7594624717,88682.04856770672,153786.17405943852,3629841.281502183,113332.58801964368,59764.450220696745,57786.877026208924,236126.77466287484,126316.11804873135,316964.4819804818,72388.15221554622,88111.97406842595,160999.79767854116
2026-12-31,145322.05619456474,109659.29372375373,108004.40799603435,96782.9131127991,127256.72112739575,140016.00389209585,1099041.0889663044,79719.67589197838,131535.19432515485,131564.49914416712,161573.10385288915,108839.77595924395,30150.38440185048,44824.36693847394,129992.60471367225,46904.324833076214,101776.04982181427,271952.88139293,199240.84564472744,123955.86334706626,54285.571477430734,44649.27194373948,166676.8402462591,57328.91147541155,38473.98249797574,99665.16843753397,38182.09298657353,23575.834452536725,196905.59090900642,280481.4290102629,153194.9647403178,125172.9044906711,212066.46908333572,17302.951085890385,155308.5197184237,42234.838139192914,93336.97954206035,74652.95890483748,145907.44321748381,88216.42735915726,152875.09712642673,3602301.890492512,115554.07328062462,60810.133532869164,58116.996719916795,240199.55093323687,126141.88398111306,317337.25986654893,72050.518161296,88214.67708589141,161189.75997280795
2027-12-31,145102.2814945323,109588.84292604304,108008.76895041311,96892.99718360974,126211.31001440674,139611.45416476266,1097970.6240978884,76452.48593692452,130737.0182566709,131587.87203958063,160917.89281661477,108460.57566697265,30191.55965090578,44990.33063762775,128173.41604246557,46512.14048615094,101379.67896100927,270783.91178920027,199019.71211104663,123331.61826058003,52716.29077708302,44630.40828830888,166703.04093042907,57214.72881205088,38173.489334055994,99649.4785797299,38185.44583541712,23579.288654613032,196940.6875430735,276054.66569892777,152998.9848489827,125828.80819447794,212118.66013273437,17097.370105768234,154779.55072377864,42178.98915068594,92848.400590678,73416.06647887257,145556.68436396957,87697.94190946558,151998.6747308086,3571428.253900385,113251.46683591169,63763.94177081722,57490.68651679636,244167.67651113114,125925.40339727524,317678.1404102537,71723.77492109581,88319.7048650414,161396.92023939936
2028-12-31,144929.87612838374,109506.30548104293,108111.68681016141,96818.67661821237,125126.53275213929,139463.84367684994,1097724.644502158,76910.73581803049,129796.31007348807,131579.25983124075,159930.26657123465,108021.08217435025,30210.527149125104,45219.91300810655,125983.3065477612,46077.49404199548,101144.66962886092,269328.02144408104,198440.39275297488,122439.59465979492,51074.46292113258,44615.94429192556,166714.22882553516,57133.5592536167,37846.83933836364,99431.13024717777,38198.23845300252,23587.376780573755,196270.21280849152,273284.704027469,152811.5380812743,126358.20080145687,212198.66422669048,16893.135819913594,154141.9058699908,42200.67495968538,92332.11300837256,72121.85736372776,145386.1600987322,87113.37954491792,151018.32026892164,3540638.778272233,112637.70993754664,65250.361912062916,57962.81520924722,248415.75586572403,125704.467322659,318011.10305628076,71359.24843104197,88392.62040346842,161588.9529521993
2029-12-31,144421.2005789809,109456.07457850754,108303.76581821227,96841.11381900735,124002.62566364839,139058.47299875325,1096952.0912174233,76667.02359688657,128710.84942085423,131599.86760288096,159212.5529294729,107427.39586271475,30236.464750343424,45535.35762095381,124417.19580286072,45617.825648580605,100959.97254484842,267816.27181076887,198118.15478039303,121745.40413066167,49376.30850637058,44605.53968433928,166776.13180576,57057.42960682517,37526.329568363726,99337.8954185126,38215.96002066385,23598.63134901106,196575.67827379252,269134.11558447994,152636.85553971428,126984.923198215,212296.57571396112,16690.06185447242,153568.63097716897,42215.96264368475,91764.66210681248,70755.7231833433,144981.78812770324,86468.16787006511,150074.82701599848,3506776.2810742212,110999.75894599812,68163.98499394266,57514.01235041665,252672.0721594918,125468.44258825472,318318.27406267694,71001.50659357634,88438.85889889984,161738.3758548624
2030-12-31,144428.22682707527,109430.30572585015,108571.38221880398,96916.40088022313,122839.6006406866,138894.45867179276,1096704.3885475916,77621.04692276381,127803.78775472571,131585.79004646523,158743.10306532917,106752.75023722457,30289.46109429961,45927.72561086859,121891.12749980649,45148.658881660085,100836.14839633448,266168.51405049197,197443.8397023341,120923.90066865663,47600.92454192093,44598.64746722344,166899.60312977876,56946.70369570371,37180.96100570413,99260.1705680148,38238.65478751079,23603.78249806037,196268.53565487883,266227.74654609157,152464.4129209262,127599.63582509724,212401.81862073677,16487.987628521805,152910.7101146403,42243.35586141917,91180.01360323257,69316.19986415334,144750.34855766228,85756.81714683965,149027.65844752436,3472298.563412487,110355.72343673238,69778.9428053479,58181.735022646004,257310.5504153332,125214.31118708717,318605.43798839895,70610.04220045917,88507.8167375766,161861.79419885183
