year,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΪΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ATTIKH,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ
2012-12-31,147996.0,112870.0,113244.0,98571.0,139393.0,143302.0,1137093.0,81759.0,141894.0,129819.0,178866.0,109857.0,31531.0,50380.0,150429.0,51721.0,114755.0,289799.0,207734.0,133551.0,69492.0,44839.0,172314.0,58792.0,40826.0,105109.0,39221.0,23975.0,212961.0,313940.0,161034.0,120647.0,216670.0,20442.0,162525.0,41386.0,98919.0,87867.0,148549.0,90977.0,162732.0,3963887.0,104008.0,43117.0,53466.0,207367.0,127413.0,309131.0,75666.0,86684.0,157886.0
2013-12-31,147907.0,112770.0,112956.0,98129.0,138340.0,142898.0,1130229.0,81397.0,141193.0,130272.0,176604.0,110031.0,31365.0,49844.0,148746.0,51369.0,113258.0,288482.0,207089.0,132764.0,68451.0,44884.0,171243.0,58550.0,40573.0,104546.0,39173.0,23949.0,211090.0,311511.0,159982.0,120553.0,215718.0,20170.0,162041.0,41611.0,98541.0,86820.0,148604.0,90964.0,161934.0,3912849.0,103234.0,42813.0,53431.0,207348.0,127304.0,309743.0,75417.0,86829.0,158096.0
2014-12-31,147974.0,112635.0,112697.0,97758.0,137150.0,142559.0,1123676.0,81017.0,140495.0,130729.0,174686.0,110198.0,31200.0,49293.0,147155.0,51058.0,111916.0,287055.0,206486.0,132229.0,67489.0,44983.0,170236.0,58338.0,40401.0,104085.0,39175.0,24003.0,209335.0,309389.0,159003.0,120524.0,215045.0,19917.0,161781.0,41947.0,98181.0,85840.0,148786.0,91025.0,161323.0,3863763.0,102528.0,42633.0,53420.0,207434.0,127368.0,310361.0,75189.0,86997.0,158342.0
2015-12-31,147915.0,112532.0,112325.0,97466.0,136252.0,142063.0,1117094.0,80616.0,139818.0,131041.0,172909.0,110337.0,31052.0,48798.0,145774.0,50799.0,110704.0,285446.0,205911.0,131602.0,66611.0,45136.0,169240.0,58155.0,40283.0,103630.0,39150.0,23996.0,207674.0,307412.0,158177.0,120533.0,214123.0,19714.0,161230.0,42153.0,97883.0,84996.0,148824.0,90995.0,160733.0,3822843.0,102007.0,42356.0,53332.0,207659.0,127206.0,310784.0,74994.0,87150.0,158585.0
2016-12-31,147796.0,112275.0,112088.0,97041.0,135304.0,141436.0,1109969.0,80173.0,139105.0,131309.0,170929.0,110418.0,30817.0,48244.0,144309.0,50473.0,109390.0,283727.0,205295.0,131030.0,65657.0,45136.0,168169.0,57872.0,40070.0,103066.0,39038.0,23967.0,205901.0,305183.0,157174.0,120432.0,213046.0,19504.0,160530.0,42318.0,97552.0,84130.0,148645.0,90816.0,159883.0,3781274.0,101397.0,42058.0,53199.0,207746.0,127045.0,311096.0,74691.0,87260.0,158765.0
2017-12-31,147709.0,112112.0,111731.0,96836.0,134411.0,141517.0,1108085.0,80762.0,138583.0,131388.0,169242.0,110545.0,30628.0,47723.0,142941.0,50196.0,107984.0,282542.0,204738.0,130610.0,64798.0,45131.0,167432.0,57889.0,39938.0,102613.0,38945.0,23935.0,204159.0,303224.0,156587.0,121004.0,212764.0,19285.0,160278.0,42430.0,97257.0,83251.0,148540.0,90721.0,159413.0,3773559.0,106184.0,43523.0,53993.0,211425.0,126958.0,311640.0,74463.0,87482.0,159089.0
2018-12-31,147488.0,111885.0,111193.0,96760.0,133849.0,141403.0,1105663.0,80576.0,137872.0,131650.0,168245.0,110587.0,30622.0,47163.0,141559.0,49878.0,106535.0,281713.0,203972.0,129845.0,63924.0,45133.0,167407.0,57873.0,39806.0,102052.0,38807.0,23897.0,202288.0,301145.0,156037.0,121493.0,212828.0,19050.0,159798.0,42454.0,96942.0,82436.0,148187.0,90500.0,158684.0,3756453.0,108575.0,46222.0,56340.0,214013.0,126857.0,312514.0,74210.0,87510.0,159272.0
2019-12-31,147190.0,111631.0,110666.0,96845.0,133391.0,141585.0,1104690.0,80475.0,137181.0,131879.0,167374.0,110593.0,30588.0,46668.0,140233.0,49519.0,105403.0,281033.0,203162.0,129042.0,62973.0,45064.0,167696.0,57963.0,39737.0,101569.0,38718.0,23845.0,200617.0,298996.0,155576.0,122256.0,213067.0,18814.0,159387.0,42436.0,96564.0,81680.0,147739.0,90368.0,158096.0,3742235.0,114805.0,48238.0,58055.0,217241.0,126786.0,313766.0,74006.0,87582.0,159576.0
2020-12-31,147091.0,111385.0,110162.0,96925.0,133050.0,141789.0,1104023.0,80430.0,136549.0,132139.0,166583.0,110589.0,30629.0,46071.0,138817.0,49153.0,104145.0,280284.0,202401.0,128285.0,62091.0,45032.0,168087.0,58055.0,39621.0,101161.0,38567.0,23800.0,198920.0,296945.0,155200.0,122969.0,213190.0,18579.0,158926.0,42338.0,96156.0,80916.0,147290.0,90217.0,157572.0,3738901.0,120114.0,49961.0,59441.0,220683.0,126829.0,315162.0,73758.0,87691.0,159893.0
2021-12-31,146582.0,110868.0,109447.0,96133.0,131875.0,140838.0,1096665.0,79597.0,135412.0,131426.0,164544.0,110273.0,30292.0,45517.0,137455.0,48788.0,102815.0,278504.0,201204.0,127285.0,61245.0,44877.0,167121.0,57742.0,39565.0,100639.0,38435.0,23732.0,197233.0,295119.0,154318.0,122674.0,212225.0,18360.0,157779.0,42197.0,95607.0,80080.0,146702.0,90002.0,156954.0,3736737.0,119940.0,49845.0,59370.0,221098.0,126750.0,315393.0,73521.0,87829.0,160023.0
2022-12-31,146512.58299517754,111150.98806555886,109040.27341050674,96504.06974371382,132321.37857152123,141256.72989184133,1098122.8990547531,80173.0,136074.9175927004,131512.8161457565,165675.58311181597,110508.39430912951,30464.00271812697,46033.68394807567,135853.69826247866,48846.710024769425,103791.29251580618,278989.9547686521,202865.77482627862,130429.12755987897,60043.49434723079,45020.49990114698,167920.24555554744,57801.0899891101,39548.95023381817,101661.28807736233,38481.4264803799,23714.21283894907,196097.45171700246,293447.4707373531,154335.7595270084,122003.6768948395,212678.2965196774,18391.300824751834,156887.1488581337,42081.22522331273,96741.13092009717,79171.09941182536,147084.92470879637,90243.14308741102,157755.36609896482,3765345.769195712,103494.53328349623,42307.91318647291,53763.3069090165,213880.78786748688,126752.06398176696,316271.68378583115,74262.64100613062,88111.35389035412,160192.23981023385
2023-12-31,146294.5715320359,111103.03818550461,108482.7180688606,96482.19711639638,132252.2740773518,141234.60967782894,1100683.5856404663,80173.0,136128.03151075466,131388.0061052257,165981.4764262942,110509.90174621911,30463.868157896446,45991.029181609294,134538.45753506146,48748.69734881983,103490.6469029025,278712.4252911957,203134.33388465203,130454.69172918245,59116.906411703996,45002.27564181428,167955.24770714596,57762.648870903715,39514.48041518927,101721.84383692751,38481.42639390034,23661.188380114585,195082.54044490174,291100.0729749826,154345.8689432991,122240.88141649449,212661.66833323182,18136.40190457682,156446.54845431008,41881.368752718656,96675.61325461391,78378.28931215151,147021.40651139026,90217.9955511193,157872.45848171995,3797083.029471363,103494.53328349623,42189.93981878141,53851.01137367871,214962.59975753524,126743.72460026345,317001.6564981835,74302.79710690852,88241.76435928281,160342.75538863736
2024-12-31,146107.4367610657,111056.91924631875,107975.04326031727,96461.18688197667,132326.08219438157,141218.42278502887,1102337.9653389782,80173.0,136363.3232794094,131265.92681670387,166562.28626263633,110511.0005829756,30463.842345934347,45981.98168454777,133110.42748759134,48710.175171640134,103310.89191922681,278642.27063225117,203590.92627674725,130430.43022600932,58242.13718240415,44984.332479962126,167987.45782966595,57736.526012386246,39503.91774913204,101848.03732744757,38481.4263074851,23687.287102306615,194212.96309340655,289146.76771833585,154537.31761854075,122479.05436187197,212695.4561391863,17893.53409304654,156179.1386934408,41698.79665382856,96525.30606131483,77752.56377169481,147124.19648483093,90197.0556980443,158099.16595431237,3827731.0486719436,103494.53328349623,42175.54658433274,53937.60735067296,216022.85454767992,126738.61045669527,317698.2596659655,74263.14314451351,88362.3929822969,160476.26973309007
2025-12-31,145958.15868088105,111012.56133449034,107536.9775465497,96441.00503806901,132537.5367360684,141205.84858784237,1107476.7544671572,80173.0,136769.00950010063,131146.51853334284,167383.8517396668,110511.70505503655,30463.8373945651,45995.02703503673,131753.27201565797,48724.6901014626,103395.63556050608,278782.67920359474,204187.02109577335,130453.45544264092,57409.02210214535,44966.66607984264,168017.0986358842,57718.774090252766,39507.553659119716,102030.91887439955,38481.426221134134,23685.307212465494,193615.64580748952,287664.45431489585,154860.67649796754,122717.12060491834,212656.10416153556,17747.194780429363,155843.4857614638,41542.40841244812,96453.81262838506,77023.71179016274,147212.9029746335,90179.75551268825,158421.1393664103,3863092.9643566166,103494.53328349623,42297.78041658961,54023.24340169074,217093.53610453501,126735.48731891597,318363.01872497227,74303.29905896328,88473.97347740445,160594.69948448782
2026-12-31,145852.28753610162,110969.89720611897,107184.65434940415,96421.61892293213,132875.85030750316,141195.6343640648,1111587.958294859,80173.0,137327.98528269792,131029.72281551168,168409.33221329044,110512.09503301408,30463.836444770684,46022.516616828376,130454.84826108268,48786.10947570866,103599.3701124593,279127.0729710074,204860.15094059226,130431.60351544792,56521.65238834797,44949.272172584075,168044.3750733682,57706.71068075941,39517.3588311176,102261.17058882944,38481.42613484739,23707.15267615507,193176.95408766798,285967.2892817485,155171.91661955035,122954.64360650939,212690.53225084397,17617.71265609065,155675.14778179026,41413.79710285812,96467.25703709731,76465.71038260976,147379.8046027703,90165.35758839107,158822.80998960076,3896394.097144355,103494.53328349623,42680.53076452482,54108.03727758674,218142.30253720577,126733.58544333182,318997.38937812124,74263.64501547896,88577.18452779499,160699.74817653032
2027-12-31,145793.52291130446,110928.86218497707,106930.05233526674,96402.99716261034,133325.24088219134,141187.66416682926,1116108.201199979,80173.0,138017.49142504137,130915.4825021956,169600.2302065471,110512.3077671854,30463.83626257675,46059.37069397172,129048.25671132712,48886.44123941362,104064.36177604142,279659.41559924796,205540.24728957168,130452.34194017974,55744.88296883271,44932.1465551593,168069.47574155984,57698.512929129465,39542.6938364934,102529.341660417,38481.42604862482,23750.88364265262,193019.17988912817,284806.199823258,155686.87127337852,123192.0459211109,212668.15535093477,17537.22372128383,155433.22183816094,41346.840909798164,96398.96455545267,75847.48006493037,147559.67030508225,90153.49714782108,159287.87264993982,3922381.848798356,103494.53328349623,42877.012179710306,54192.082391644806,219201.13668219306,126732.42948816065,319602.76078318036,74303.8007436719,88672.65390989848,160792.92793890994
2028-12-31,145782.56680789354,110889.39406446474,106780.62968053443,96385.10962015875,133865.6534135284,141181.55344931665,1122610.6995380805,80173.0,138810.44167346472,130803.7416830209,170917.37171649447,110512.43068392217,30463.836227627475,46102.21657435434,127754.0726991987,49015.545833440854,104636.7429265798,280354.95915462147,206157.0167746916,130432.66027747975,54918.01507934237,44915.28508937014,168092.57419582232,57692.94210507485,39563.23748025704,102826.0641503302,38481.425962466375,23757.368660872973,193023.99318651645,282778.22033505124,156148.07305839093,123429.4646950799,212675.70019016883,17396.584728515227,155353.64295638114,41327.22430883627,96281.81288741494,75330.88691935471,147688.510532305,90143.62645010807,159799.7486518045,3943199.480587275,103494.53328349623,42797.39738235234,54275.45293241868,220237.7043184516,126731.7278172057,320180.4585947737,74264.14661916942,88760.96231180635,160875.57980720207
2029-12-31,145817.5601509731,110851.4330133082,106739.1611392756,96367.92734687049,134473.64401370232,141176.88780871662,1126453.4972648015,80173.0,139676.31214872052,130694.44567089171,172321.82550897554,110512.51357634857,30463.836220923342,46148.81589986177,126467.65016901337,49163.41743295384,105454.71127048072,281181.3945968873,206647.1679014582,130451.33902727129,54132.89363926317,44898.683700847505,168113.83014746642,57689.15642309174,39588.51692924507,103142.24649791753,38481.42587637201,23801.71861598058,193308.96811441818,280996.99656744447,156690.338258667,123666.93249941959,212681.67222500392,17235.517409002598,155195.8732280743,41362.44672552373,96271.87324878717,74852.6826653685,147847.5565933504,90135.52053279066,160342.01862398136,3954733.0720155877,103494.53328349623,42671.069418417836,54358.20790205726,221283.98736361982,126731.30227814356,320731.7478673273,74304.30216117678,88842.64686527992,160948.89325903688
2030-12-31,145894.60602884387,110814.92148485935,106803.77798670044,96351.42253542693,135123.38812717953,141173.3117511057,1131824.9455799789,80173.0,140582.37335174202,130587.5409752257,173775.74578773373,110512.56405029676,30463.836219637324,46197.68406786815,125099.70427949069,49320.08477096959,106358.19604770919,282100.35257635306,206960.91713689195,130433.61208523937,53408.5342061472,44882.3383780668,168133.39056805396,57686.58384353498,39612.76726427,103469.24269909027,38481.42579034168,23805.37991338604,193751.0955651638,279700.3922481864,157302.7384224789,123904.42720901876,212666.4260483025,16985.85071993619,155196.08422420532,41449.216675082476,96296.4421400507,74374.30488709513,147907.6700317287,90128.76679303573,160898.8169505149,3952686.2725835727,103494.53328349623,42371.033637570436,54440.394305936694,222307.6593749812,126731.04436051563,321257.8358253107,74264.64795572721,88918.20441282947,161013.9233944352
