year,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΑΤΤΙΚΗ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ
2012-12-31,147996.0,112870.0,113244.0,98571.0,139393.0,143302.0,1137093.0,81759.0,141894.0,129819.0,178866.0,109857.0,31531.0,50380.0,150429.0,51721.0,114755.0,289799.0,207734.0,133551.0,69492.0,44839.0,172314.0,58792.0,40826.0,105109.0,39221.0,23975.0,212961.0,313940.0,161034.0,120647.0,216670.0,20442.0,162525.0,41386.0,98919.0,87867.0,148549.0,90977.0,162732.0,3963887.0,104008.0,43117.0,53466.0,207367.0,127413.0,309131.0,75666.0,86684.0,157886.0
2013-12-31,147907.0,112770.0,112956.0,98129.0,138340.0,142898.0,1130229.0,81397.0,141193.0,130272.0,176604.0,110031.0,31365.0,49844.0,148746.0,51369.0,113258.0,288482.0,207089.0,132764.0,68451.0,44884.0,171243.0,58550.0,40573.0,104546.0,39173.0,23949.0,211090.0,311511.0,159982.0,120553.0,215718.0,20170.0,162041.0,41611.0,98541.0,86820.0,148604.0,90964.0,161934.0,3912849.0,103234.0,42813.0,53431.0,207348.0,127304.0,309743.0,75417.0,86829.0,158096.0
2014-12-31,147974.0,112635.0,112697.0,97758.0,137150.0,142559.0,1123676.0,81017.0,140495.0,130729.0,174686.0,110198.0,31200.0,49293.0,147155.0,51058.0,111916.0,287055.0,206486.0,132229.0,67489.0,44983.0,170236.0,58338.0,40401.0,104085.0,39175.0,24003.0,209335.0,309389.0,159003.0,120524.0,215045.0,19917.0,161781.0,41947.0,98181.0,85840.0,148786.0,91025.0,161323.0,3863763.0,102528.0,42633.0,53420.0,207434.0,127368.0,310361.0,75189.0,86997.0,158342.0
2015-12-31,147915.0,112532.0,112325.0,97466.0,136252.0,142063.0,1117094.0,80616.0,139818.0,131041.0,172909.0,110337.0,31052.0,48798.0,145774.0,50799.0,110704.0,285446.0,205911.0,131602.0,66611.0,45136.0,169240.0,58155.0,40283.0,103630.0,39150.0,23996.0,207674.0,307412.0,158177.0,120533.0,214123.0,19714.0,161230.0,42153.0,97883.0,84996.0,148824.0,90995.0,160733.0,3822843.0,102007.0,42356.0,53332.0,207659.0,127206.0,310784.0,74994.0,87150.0,158585.0
2016-12-31,147796.0,112275.0,112088.0,97041.0,135304.0,141436.0,1109969.0,80173.0,139105.0,131309.0,170929.0,110418.0,30817.0,48244.0,144309.0,50473.0,109390.0,283727.0,205295.0,131030.0,65657.0,45136.0,168169.0,57872.0,40070.0,103066.0,39038.0,23967.0,205901.0,305183.0,157174.0,120432.0,213046.0,19504.0,160530.0,42318.0,97552.0,84130.0,148645.0,90816.0,159883.0,3781274.0,101397.0,42058.0,53199.0,207746.0,127045.0,311096.0,74691.0,87260.0,158765.0
2017-12-31,147709.0,112112.0,111731.0,96836.0,134411.0,141517.0,1108085.0,80762.0,138583.0,131388.0,169242.0,110545.0,30628.0,47723.0,142941.0,50196.0,107984.0,282542.0,204738.0,130610.0,64798.0,45131.0,167432.0,57889.0,39938.0,102613.0,38945.0,23935.0,204159.0,303224.0,156587.0,121004.0,212764.0,19285.0,160278.0,42430.0,97257.0,83251.0,148540.0,90721.0,159413.0,3773559.0,106184.0,43523.0,53993.0,211425.0,126958.0,311640.0,74463.0,87482.0,159089.0
2018-12-31,147488.0,111885.0,111193.0,96760.0,133849.0,141403.0,1105663.0,80576.0,137872.0,131650.0,168245.0,110587.0,30622.0,47163.0,141559.0,49878.0,106535.0,281713.0,203972.0,129845.0,63924.0,45133.0,167407.0,57873.0,39806.0,102052.0,38807.0,23897.0,202288.0,301145.0,156037.0,121493.0,212828.0,19050.0,159798.0,42454.0,96942.0,82436.0,148187.0,90500.0,158684.0,3756453.0,108575.0,46222.0,56340.0,214013.0,126857.0,312514.0,74210.0,87510.0,159272.0
2019-12-31,147190.0,111631.0,110666.0,96845.0,133391.0,141585.0,1104690.0,80475.0,137181.0,131879.0,167374.0,110593.0,30588.0,46668.0,140233.0,49519.0,105403.0,281033.0,203162.0,129042.0,62973.0,45064.0,167696.0,57963.0,39737.0,101569.0,38718.0,23845.0,200617.0,298996.0,155576.0,122256.0,213067.0,18814.0,159387.0,42436.0,96564.0,81680.0,147739.0,90368.0,158096.0,3742235.0,114805.0,48238.0,58055.0,217241.0,126786.0,313766.0,74006.0,87582.0,159576.0
2020-12-31,147091.0,111385.0,110162.0,96925.0,133050.0,141789.0,1104023.0,80430.0,136549.0,132139.0,166583.0,110589.0,30629.0,46071.0,138817.0,49153.0,104145.0,280284.0,202401.0,128285.0,62091.0,45032.0,168087.0,58055.0,39621.0,101161.0,38567.0,23800.0,198920.0,296945.0,155200.0,122969.0,213190.0,18579.0,158926.0,42338.0,96156.0,80916.0,147290.0,90217.0,157572.0,3738901.0,120114.0,49961.0,59441.0,220683.0,126829.0,315162.0,73758.0,87691.0,159893.0
2021-12-31,146582.0,110868.0,109447.0,96133.0,131875.0,140838.0,1096665.0,79597.0,135412.0,131426.0,164544.0,110273.0,30292.0,45517.0,137455.0,48788.0,102815.0,278504.0,201204.0,127285.0,61245.0,44877.0,167121.0,57742.0,39565.0,100639.0,38435.0,23732.0,197233.0,295119.0,154318.0,122674.0,212225.0,18360.0,157779.0,42197.0,95607.0,80080.0,146702.0,90002.0,156954.0,3736737.0,119940.0,49845.0,59370.0,221098.0,126750.0,315393.0,73521.0,87829.0,160023.0
2022-12-31,146173.12508802093,110496.01919061085,109003.09089166073,96414.30104251034,131044.04622783815,140927.5304628357,1102465.8312330572,81550.30094658192,134738.5427302513,131450.56939631485,164297.76528591226,110060.64503502534,30220.156921190064,45205.39118186608,135832.9919231695,48421.89649232661,102278.55914965698,277193.35422512173,200859.22049379768,126915.66078464428,59955.813177797165,44801.062179675064,166979.2895330391,57592.20208063196,39465.70784158575,100491.87428928363,38340.51936677804,23689.059501960306,198663.44105858088,293411.9722260925,154099.39382716228,123206.73653994763,212186.8729464927,18143.621869388084,157434.43617397232,42229.65638336939,95163.0242146887,79084.33449457544,146675.59747302547,89717.34981199417,156196.3446783907,3700814.020711027,116295.7952309695,53007.46147143712,60058.8521358147,224827.828873234,126573.9636269519,315831.64470855595,73253.2186004802,87818.91199666537,160321.40527840614
2023-12-31,146249.21111841302,110251.07645612655,108612.69232834021,96528.06992280338,130156.35979550757,140787.6825022336,1101835.2767629065,80215.56159400771,134080.1260095854,131420.83379584964,163299.70638835334,109732.27437333185,30255.51083137891,44960.68298239422,134691.4892405201,48060.47098407687,102107.6174973439,275855.28805630014,200439.54452841115,126031.14198597748,58629.480531413545,44755.65878639327,166889.29782713857,57546.952298118325,39282.19268749141,100154.62677849393,38269.3077326411,23618.315358832406,197469.27288077152,289400.6638552273,153837.8680390113,123507.72688578114,212110.1881581935,17930.116691813797,156888.35959073514,42409.48979079832,94777.33795938327,78055.05263845403,146418.00943423045,89440.6070586885,155447.16788135437,3678933.6817347696,114646.71561254437,56263.71099608948,58810.10276982058,228416.29012000447,126626.95436605852,316189.4602777529,72993.11323013139,87902.98472803987,160518.19502543425
2024-12-31,145707.1399006801,110015.37952813151,108307.96559822446,96506.15870654557,129229.2648713522,140502.79031338074,1100814.3426128263,76485.45122102035,133260.32126800832,131561.55884211906,162446.79623512138,109438.07968713714,30107.98233485493,44816.370823020385,133151.63528699003,47717.626080043454,102295.61749501059,274716.6446123928,200047.8495449822,125485.90855948356,57240.50475958557,44712.24058154128,166756.53537489232,57464.61699090322,39031.64053760013,100019.26380243873,38219.28946104164,23603.887276013076,197250.5413350906,286753.53975253785,153621.31492790516,124074.96698190624,212063.71878395745,17719.05310685499,156412.66040653843,42407.47225930705,94333.19332399723,77000.67005956202,146330.7379177865,89078.3467131747,154596.1282525189,3656463.6972732916,114628.33001156751,56556.79167695954,58690.241427016896,232269.1792053957,126474.06617378358,316608.79807602084,72682.71130816684,88008.22993235574,160789.5850388173
2025-12-31,145745.2909738279,109834.58372820714,108104.65730484162,96809.86008102109,128262.57280644758,140172.27398784863,1099924.35132174,78908.26831669953,132396.36679243174,131560.46855386504,161756.02501549656,109196.26745565793,30188.25278014685,44791.5345510799,131385.2234701817,47307.98840802612,102027.72544533797,273264.9072307137,199620.92684039762,124732.45260261776,55796.28199435444,44674.710707447666,166697.8078066683,57406.10310928741,38774.76533518676,99899.14100646897,38193.47372724056,23575.588010143543,197435.8693930559,283038.6543178804,153397.83881708002,124625.85023383504,212048.45149360652,17510.095070396063,155881.67018148585,42336.99639604073,93826.57646513967,75861.78408600563,146034.7594624717,88682.04856770672,153786.17405943852,3629841.281502183,113332.58801964368,59764.450220696745,57786.877026208924,236126.77466287484,126316.11804873135,316964.4819804818,72388.15221554622,88111.97406842595,160999.79767854116
2026-12-31,145322.05619456474,109659.29372375373,108004.40799603435,96782.9131127991,127256.72112739575,140016.00389209585,1099041.0889663044,79719.67589197838,131535.19432515485,131564.49914416712,161573.10385288915,108839.77595924395,30150.38440185048,44824.36693847394,129992.60471367225,46904.324833076214,101776.04982181427,271952.88139293,199240.84564472744,123955.86334706626,54285.571477430734,44649.27194373948,166676.8402462591,57328.91147541155,38473.98249797574,99665.16843753397,38182.09298657353,23575.834452536725,196905.59090900642,280481.4290102629,153194.9647403178,125172.9044906711,212066.46908333572,17302.951085890385,155308.5197184237,42234.838139192914,93336.97954206035,74652.95890483748,145907.44321748381,88216.42735915726,152875.09712642673,3602301.890492512,115554.07328062462,60810.133532869164,58116.996719916795,240199.55093323687,126141.88398111306,317337.25986654893,72050.518161296,88214.67708589141,161189.75997280795
2027-12-31,145102.2814945323,109588.84292604304,108008.76895041311,96892.99718360974,126211.31001440674,139611.45416476266,1097970.6240978884,76452.48593692452,130737.0182566709,131587.87203958063,160917.89281661477,108460.57566697265,30191.55965090578,44990.33063762775,128173.41604246557,46512.14048615094,101379.67896100927,270783.91178920027,199019.71211104663,123331.61826058003,52716.29077708302,44630.40828830888,166703.04093042907,57214.72881205088,38173.489334055994,99649.4785797299,38185.44583541712,23579.288654613032,196940.6875430735,276054.66569892777,152998.9848489827,125828.80819447794,212118.66013273437,17097.370105768234,154779.55072377864,42178.98915068594,92848.400590678,73416.06647887257,145556.68436396957,87697.94190946558,151998.6747308086,3571428.253900385,113251.46683591169,63763.94177081722,57490.68651679636,244167.67651113114,125925.40339727524,317678.1404102537,71723.77492109581,88319.7048650414,161396.92023939936
2028-12-31,144929.87612838374,109506.30548104293,108111.68681016141,96818.67661821237,125126.53275213929,139463.84367684994,1097724.644502158,76910.73581803049,129796.31007348807,131579.25983124075,159930.26657123465,108021.08217435025,30210.527149125104,45219.91300810655,125983.3065477612,46077.49404199548,101144.66962886092,269328.02144408104,198440.39275297488,122439.59465979492,51074.46292113258,44615.94429192556,166714.22882553516,57133.5592536167,37846.83933836364,99431.13024717777,38198.23845300252,23587.376780573755,196270.21280849152,273284.704027469,152811.5380812743,126358.20080145687,212198.66422669048,16893.135819913594,154141.9058699908,42200.67495968538,92332.11300837256,72121.85736372776,145386.1600987322,87113.37954491792,151018.32026892164,3540638.778272233,112637.70993754664,65250.361912062916,57962.81520924722,248415.75586572403,125704.467322659,318011.10305628076,71359.24843104197,88392.62040346842,161588.9529521993
2029-12-31,144421.2005789809,109456.07457850754,108303.76581821227,96841.11381900735,124002.62566364839,139058.47299875325,1096952.0912174233,76667.02359688657,128710.84942085423,131599.86760288096,159212.5529294729,107427.39586271475,30236.464750343424,45535.35762095381,124417.19580286072,45617.825648580605,100959.97254484842,267816.27181076887,198118.15478039303,121745.40413066167,49376.30850637058,44605.53968433928,166776.13180576,57057.42960682517,37526.329568363726,99337.8954185126,38215.96002066385,23598.63134901106,196575.67827379252,269134.11558447994,152636.85553971428,126984.923198215,212296.57571396112,16690.06185447242,153568.63097716897,42215.96264368475,91764.66210681248,70755.7231833433,144981.78812770324,86468.16787006511,150074.82701599848,3506776.2810742212,110999.75894599812,68163.98499394266,57514.01235041665,252672.0721594918,125468.44258825472,318318.27406267694,71001.50659357634,88438.85889889984,161738.3758548624
2030-12-31,144428.22682707527,109430.30572585015,108571.38221880398,96916.40088022313,122839.6006406866,138894.45867179276,1096704.3885475916,77621.04692276381,127803.78775472571,131585.79004646523,158743.10306532917,106752.75023722457,30289.46109429961,45927.72561086859,121891.12749980649,45148.658881660085,100836.14839633448,266168.51405049197,197443.8397023341,120923.90066865663,47600.92454192093,44598.64746722344,166899.60312977876,56946.70369570371,37180.96100570413,99260.1705680148,38238.65478751079,23603.78249806037,196268.53565487883,266227.74654609157,152464.4129209262,127599.63582509724,212401.81862073677,16487.987628521805,152910.7101146403,42243.35586141917,91180.01360323257,69316.19986415334,144750.34855766228,85756.81714683965,149027.65844752436,3472298.563412487,110355.72343673238,69778.9428053479,58181.735022646004,257310.5504153332,125214.31118708717,318605.43798839895,70610.04220045917,88507.8167375766,161861.79419885183
