year,ΔΡΑΜΑΣ,ΕΒΡΟΥ,ΚΑΒΑΛΑΣ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2021-12-31,253.48576052796906,459.4142654394807,397.15347965501576,471.8114616402486,383.65291051953784,424.9386864054316,3526.262435540689,199.58941849802517,412.68955541666355,384.7333272606529,465.84513622802007,335.8255444760789,66.6048697997728,152.95734069317052,425.63790395631975,166.47937656053898,154.8980330131194,87.31735581112233,502.0574425881016,116.36964119381582,279.57534208468905,767.584130554985,668.9822812028552,328.06478498105406,153.92880486880506,343.9026275391168,125.98976922120876,103.54960891037524,607.828605332954,1069.8993442019207,350.02486385381746,418.955745964456,644.048602891276,38.400885488795716,436.7430992248441,91.15760010000491,329.72051307004926,269.973641644725,425.02944634726157,323.96177212211063,520.2347874992964,362.96660741039716,163.09495873423742,192.91917673531475,871.8156802873574,587.8911684115437,959.6908488866359,313.2201881974586,341.66441756832785,443.2834680775916,10651.986801871126
2022-12-31,245.97910978339706,391.5299532559658,386.64293198894916,477.69148611798676,359.65887273264474,419.3589086633897,3330.8022744212367,183.0544521199902,396.5886260127329,354.97831915834854,449.23760556939214,297.17483836567976,61.93286375193517,134.3380008382035,433.8594656107435,167.8184369857067,127.608579354715,86.12255548513022,499.5915850273633,101.3829693414163,255.10773948338505,708.0698723213793,592.4469075027208,302.22652434806633,144.4731905009683,245.62853327484456,128.46140614480197,88.83859423851183,569.1101669571578,871.7368455428099,324.1681424389663,378.06257877510245,574.0297688010579,24.947168241092804,388.33742228592126,93.01047654669443,313.7543139729636,271.46633061076466,435.01380417041844,211.58465460768036,458.80676032134966,326.31048914301806,164.91216007640105,172.64452790290375,740.742339048596,534.3375261457662,696.6422718926669,323.66463682929555,281.75688368876115,455.1813178628951,9557.313608721035
2023-12-31,238.48001398660864,463.12045744112953,376.13568229011963,460.49190028919327,331.5915584648712,374.69313629854844,3152.387406168102,168.43898149308205,376.6231063537878,359.1235050760562,433.51305995350253,297.5902012691852,59.503922430141515,142.45821246165275,353.28499343943776,160.68402189041888,115.51203141967096,87.20620183711667,552.5673035014638,76.04243518139253,298.45112656629556,796.8761348665543,766.8337263943084,320.11681019215894,122.25687024515263,206.07656656955382,122.33588763068852,86.51460608174501,660.9688327505698,879.3134071976651,347.8684793055088,391.8661873828224,644.0188467411701,33.67996510275131,365.05344478164113,80.99940447793847,364.9631757961843,273.89054377896935,493.667951231942,243.00869139247732,503.47390448800246,297.8584443400115,199.46640366398728,169.09838214666135,847.635456494505,587.8904054959642,901.3156591571359,347.60576116746546,314.26285390117323,466.4448017627635,9501.909028893311
2024-12-31,230.98843950829178,426.13930595758836,365.6317228103501,442.89862261386475,320.3787685762707,318.12202234136913,2994.280555717122,154.96182448471654,337.1445606249843,374.365970339412,393.84012941487117,258.5258452893455,57.76128376184843,131.7037361877911,321.71544403822713,143.409066211164,100.40662580241946,86.22336864681061,435.7997477922586,52.58018358207107,266.2591896318268,798.6550682683715,698.3671279013273,295.7644853022434,124.49416382730936,165.11441396289322,122.35193232610058,96.65037909825068,561.229130232731,667.9379405106358,302.02434277540334,324.88902537529657,574.059512305588,24.013781698126362,292.17578094394895,60.58322827214988,319.3297345457096,227.02707708556147,406.67094137360385,212.39820667949078,442.0466292996806,189.46265098588827,137.34763526941975,148.92760227099328,798.8024473528327,534.3382890504773,505.6894891216161,263.5262600585482,223.85505451269074,326.5348216390083,9219.008249330978
2025-12-31,223.50435286882842,488.51690531113314,355.13104581966695,424.91668124073226,300.9930259984818,382.0345808684606,2859.585931973621,140.11352433370124,332.1189680043268,381.9673362282217,383.1424092715629,271.60873372932286,55.38880490157696,140.24382826008244,326.6305933602583,130.44845167772525,85.44942156530982,87.11476746728046,544.697984268056,30.740844882902934,304.9845362829328,937.3889132068231,800.9074056618032,314.8614958015424,172.56993315176206,122.96118375159651,122.38006101035717,89.5330725393282,692.8249446460545,766.9850998578517,325.72727422755713,420.48142915711196,643.9891158768418,26.679966792779787,353.2686604677879,58.95730328704489,360.27840976776787,272.209497950749,464.3876383850837,215.08760113565177,486.71302148203847,240.29193564987565,171.42001994093775,143.56795028078864,790.4133721733491,587.8896426021213,607.665128950066,298.9833313408161,291.7100876307587,332.06627074769995,8162.768007142389
2026-12-31,216.02772073762827,500.10924877045335,344.6336436062571,406.5513300154528,281.66103615208965,328.22928132837325,2751.2250080549074,125.39197566207721,349.34792194674753,375.0181736385941,362.28406840194805,224.63995857502766,51.95933140711031,129.57362491955266,337.54163917307216,123.83062207445059,70.70482027207714,86.30629674714982,625.8085277111485,8.166493483659565,270.1414341319321,964.3917801180065,695.0633382064052,291.4919551306059,165.17653811035865,79.84243482780394,122.42013817139649,92.39332022826518,607.8749084514939,580.0793061736579,279.88594236318124,377.13347088247485,574.0892305350865,20.266481820675388,313.019192159744,72.49026773964636,317.4673460193403,264.162205664106,464.1946199366143,203.73058467020246,425.2864982726815,200.11783606961615,153.4859886298561,135.92728816640482,799.6810508624566,534.3390519334522,444.46754711076073,261.69994690980946,207.28648205140166,372.53766025133666,7843.286311002303
2027-12-31,208.55850993246543,526.3952753521007,334.13950847642553,387.80804538894324,264.4469331138379,299.6903540354947,2671.913727811679,110.46166188997591,338.238806366438,356.9133878536085,345.502952724602,236.03213096498607,47.817257764012794,138.16134097633312,282.8871939919171,122.00253221039884,55.84265001395494,87.03955428608626,690.2739738051266,-14.548203645075887,307.23671567722164,1070.8324941089425,751.4102446675718,311.38655789794643,156.88968418256118,35.98890419844772,122.4720298168138,93.25689632105652,620.6766656896209,615.678198857815,303.5914601291267,390.3668418759903,643.9594102768039,22.43653064463696,292.53960448434196,64.06552541047066,320.5518707292177,226.83991147647117,513.1260173098894,200.10033432607833,469.9521384814043,214.03077741258232,173.57412215642057,123.15162714919995,793.1053176166223,587.8888797300143,738.8597521273562,278.9217559244964,241.96116020585322,429.83332610629964,7053.778609750463
2028-12-31,201.09668741881785,589.7375296954003,323.6486327545527,368.69252319647853,246.05723958505143,264.81080810873925,2624.141316464158,95.23744516687839,333.96724451385535,335.2561395700881,317.15332963364267,192.56019396565267,43.57145237310063,127.55599844406923,272.1627125225617,120.32649374776969,41.02892725841963,86.37451273910204,637.4949344339926,-37.07466504959564,271.5021644767227,1085.0791046737143,659.6830586052438,288.66711962261684,158.13058374976512,-8.36479319911556,122.5356034568197,91.53105989771885,489.77368096941706,472.3766875535398,257.75292467067425,325.86450251550804,574.1189235110312,19.52216069555174,261.8304439429926,47.229615108101925,269.08652793793226,209.7014552986111,419.78985103143367,193.2986748059043,408.52636724035256,127.7862813225878,143.7552386546078,115.99732830704174,775.8656541613459,534.3398147946915,463.53228769321885,227.5644041394267,178.43779759147728,389.5467449571679,6987.401943724903
2029-12-31,193.64222030920988,578.8933759558427,313.1610087830518,349.2106753094449,227.75579553173407,296.70601179817584,2610.150860669023,79.83570905120266,335.5752085192148,316.2195477471644,300.3521870658567,202.38657697153036,39.64337003095682,136.18877673813165,285.5846269418893,116.23893922695069,26.208116723025,86.97768452490688,742.1539667684059,-59.60626601356421,308.0038649723908,1159.5297567593366,722.2468894974254,309.088797941787,175.21879988068525,-52.981485060357,122.61072808738949,92.90619835930278,572.9752491587021,541.5818576309322,281.4610205039197,421.9459801633054,643.9297299195877,20.484507369628894,307.80266289325925,38.86923235114238,301.65367380337887,252.53375111774042,456.1146006029227,188.29418662653327,453.19125548610015,166.663566481325,163.69916016327332,106.71201307999041,844.4564559385411,587.8881168796427,583.2911383046637,294.70689349110734,213.37021635101198,429.663828470094,6388.724719486252
2030-12-31,186.19507586255787,676.3462158570835,302.6766289223268,329.36862616171913,209.7148298766516,227.1875281799604,2631.921809523632,64.21912740856399,361.6377365081229,302.02746748980775,278.7874768378804,158.29964446701763,36.1040540877796,125.64654186631851,304.2769617520086,109.73797772325867,11.393545308263242,86.43062666838527,878.2564920412606,-82.16333183457505,271.98823073355584,1157.654095865386,665.9668462413414,286.79949413537446,147.86823118739244,-97.62277522427375,122.69727417360164,92.49825494934223,478.3276847725798,411.07225377907184,235.62527321687418,376.11985606888123,574.1485912548818,18.94037537328056,281.2669002935863,44.422898584203345,294.741368284004,268.37083429909455,443.00187299706437,182.5762211005211,391.76623620269385,123.62366414369353,147.21129065932587,105.15792596148931,731.0011740514767,534.3405776341957,462.91506452144796,278.8583916048573,148.47513233160197,498.84356981559495,6162.083698272785
