;year;nomos;population_sarimax;population_sarimax_ci_lower;population_sarimax_ci_upper;births;births_sarimax_ci_lower;births_sarimax_ci_upper;deceases;deceases_ci_lower;deceases_ci_upper;weddings;weddings_ci_lower;weddings_ci_upper;gdp;gdp_ci_lower;gdp_ci_upper
0;2002;????????_???_??????????;218881;218881;218881;2124;2124;2124;2154;2154;2154;884;884;884;10363,93143;10363,93143;10363,93143
1;2003;????????_???_??????????;218094;218094;218094;1974;1974;1974;2392;2392;2392;949;949;949;11382,39985;11382,39985;11382,39985
2;2004;????????_???_??????????;217203;217203;217203;1940;1940;1940;2294;2294;2294;757;757;757;12763,07514;12763,07514;12763,07514
3;2005;????????_???_??????????;216479;216479;216479;2032;2032;2032;2288;2288;2288;913;913;913;13241,59592;13241,59592;13241,59592
4;2006;????????_???_??????????;215850;215850;215850;1969;1969;1969;2319;2319;2319;873;873;873;14011,05253;14011,05253;14011,05253
5;2007;????????_???_??????????;215664;215664;215664;1893;1893;1893;2350;2350;2350;923;923;923;14519,4318;14519,4318;14519,4318
6;2008;????????_???_??????????;215247;215247;215247;2120;2120;2120;2380;2380;2380;826;826;826;14761,00194;14761,00194;14761,00194
7;2009;????????_???_??????????;215037;215037;215037;2044;2044;2044;2318;2318;2318;932;932;932;14357,92197;14357,92197;14357,92197
8;2010;????????_???_??????????;214810;214810;214810;2004;2004;2004;2353;2353;2353;842;842;842;13748,01695;13748,01695;13748,01695
9;2011;????????_???_??????????;214270;214270;214270;1864;1864;1864;2470;2470;2470;831;831;831;12514,03996;12514,03996;12514,03996
10;2012;????????_???_??????????;212961;212961;212961;1735;1735;1735;2494;2494;2494;762;762;762;12143,29919;12143,29919;12143,29919
11;2013;????????_???_??????????;211090;211090;211090;1583;1583;1583;2360;2360;2360;780;780;780;12092,15998;12092,15998;12092,15998
12;2014;????????_???_??????????;209335;209335;209335;1557;1557;1557;2368;2368;2368;758;758;758;11650,03861;11650,03861;11650,03861
13;2015;????????_???_??????????;207674;207674;207674;1618;1618;1618;2523;2523;2523;801;801;801;11559,66252;11559,66252;11559,66252
14;2016;????????_???_??????????;205901;205901;205901;1589;1589;1589;2532;2532;2532;779;779;779;11400,01193;11400,01193;11400,01193
15;2017;????????_???_??????????;204159;204159;204159;1481;1481;1481;2610;2610;2610;792;792;792;11204,73055;11204,73055;11204,73055
16;2018;????????_???_??????????;202288;202288;202288;1493;1493;1493;2456;2456;2456;735;735;735;11696,87339;11696,87339;11696,87339
17;2019;????????_???_??????????;200617;200617;200617;1509;1509;1509;2650;2650;2650;737;737;737;11829,7423;11829,7423;11829,7423
18;2020;????????_???_??????????;198920;198920;198920;1491;1491;1491;2667;2667;2667;524;524;524;12107,53217;11453,98117;12761,08317
19;2021;????????_???_??????????;197233;197233;197233;1410,279907;1284,330384;1536,22943;2575,276382;2414,960834;2735,59193;746,8373096;659,3622812;834,3123381;12447,19326;11388,46285;13505,92366
20;2022;????????_???_??????????;195503,2608;195022,308;195984,2137;1562,979237;1334,595168;1791,363306;2669,682023;2502,653361;2836,710685;715,311734;621,9509732;808,6724948;12556,99855;11167,38708;13946,61002
21;2023;????????_???_??????????;193934,4132;192704,6391;195164,1873;1524,566895;1239,222107;1809,911684;2692,981322;2525,992934;2859,96971;713,9339036;620,5672086;807,3005986;12791,49965;11129,4893;14453,51
22;2024;????????_???_??????????;192371,4078;190267,9989;194474,8167;1489,386024;1120,510985;1858,261063;2731,494696;2556,539958;2906,449435;696,5238059;587,8168335;805,2307783;12861,79892;11086,36463;14637,23321
23;2025;????????_???_??????????;190973,7157;187849,5718;194097,8597;1521,333279;1092,919839;1949,746719;2739,914752;2560,78519;2919,044315;707,0517277;595,5963992;818,5070563;12823,74029;10994,46604;14653,01453
24;2026;????????_???_??????????;189607,1747;185342,1803;193872,1691;1535,532866;1074,225145;1996,840587;2770,393029;2580,94408;2959,841978;686,2965353;566,7414971;805,8515735;12769,25845;10933,096;14605,42089
25;2027;????????_???_??????????;188421,1356;182908,0481;193934,223;1486,456226;979,6803381;1993,232115;2779,04512;2584,552338;2973,537902;685,9775609;565,9906906;805,9644312;12566,78488;10723,32633;14410,24344
26;2028;????????_???_??????????;187286,0872;180422,8401;194149,3343;1498,902625;942,1844038;2055,620847;2806,988389;2603,085331;3010,891446;667,2395545;539,2300757;795,2490332;12361,7495;10478,07083;14245,42818
27;2029;????????_???_??????????;186348,9595;178047,0961;194650,823;1519,035432;932,1649016;2105,905962;2817,185185;2608,174712;3026,195658;671,8853846;541,9205483;801,850221;12139,45909;10156,25206;14122,66612
28;2030;????????_???_??????????;185481,1971;175652,6876;195309,7066;1495,076623;877,8944061;2112,25884;2843,472332;2626,028365;3060,9163;655,2320433;518,0623631;792,4017234;11906,3019;9792,508517;14020,09528
29;2002;?????????;99037;99037;99037;857;857;857;1011;1011;1011;457;457;457;13870,96911;13870,96911;13870,96911
30;2003;?????????;98746;98746;98746;887;887;887;954;954;954;472;472;472;14634,88588;14634,88588;14634,88588
31;2004;?????????;98624;98624;98624;940;940;940;1078;1078;1078;395;395;395;14994,18278;14994,18278;14994,18278
32;2005;?????????;98490;98490;98490;932;932;932;1030;1030;1030;427;427;427;15665,97122;15665,97122;15665,97122
33;2006;?????????;98441;98441;98441;1004;1004;1004;1057;1057;1057;435;435;435;17416,4123;17416,4123;17416,4123
34;2007;?????????;98541;98541;98541;1035;1035;1035;1102;1102;1102;498;498;498;18950,40808;18950,40808;18950,40808
35;2008;?????????;98650;98650;98650;1002;1002;1002;1156;1156;1156;413;413;413;19787,04708;19787,04708;19787,04708
36;2009;?????????;98725;98725;98725;1072;1072;1072;1115;1115;1115;469;469;469;19308,76293;19308,76293;19308,76293
37;2010;?????????;98855;98855;98855;1066;1066;1066;1129;1129;1129;437;437;437;18404,23084;18404,23084;18404,23084
38;2011;?????????;98996;98996;98996;904;904;904;1096;1096;1096;456;456;456;16394,38831;16394,38831;16394,38831
39;2012;?????????;98919;98919;98919;918;918;918;1239;1239;1239;367;367;367;15274,72243;15274,72243;15274,72243
40;2013;?????????;98541;98541;98541;803;803;803;1161;1161;1161;430;430;430;14636,26513;14636,26513;14636,26513
41;2014;?????????;98181;98181;98181;853;853;853;1159;1159;1159;415;415;415;14464,40289;14464,40289;14464,40289
42;2015;?????????;97883;97883;97883;834;834;834;1171;1171;1171;428;428;428;14795,98988;14795,98988;14795,98988
43;2016;?????????;97552;97552;97552;847;847;847;1157;1157;1157;437;437;437;14616,00868;14616,00868;14616,00868
44;2017;?????????;97257;97257;97257;836;836;836;1224;1224;1224;418;418;418;14872,8629;14872,8629;14872,8629
45;2018;?????????;96942;96942;96942;758;758;758;1220;1220;1220;372;372;372;14992,66996;14992,66996;14992,66996
46;2019;?????????;96564;96564;96564;745;745;745;1289;1289;1289;379;379;379;15506,04549;15506,04549;15506,04549
47;2020;?????????;96156;96156;96156;713;713;713;1274;1274;1274;267;267;267;15892,69966;14984,62391;16800,77541
48;2021;?????????;95607;95607;95607;644,1380731;545,2199184;743,0562278;1275,49305;1205,043532;1345,942568;418,0113895;354,8101981;481,2125809;16465,69947;14685,95277;18245,44617
49;2022;?????????;95163,02421;94911,51937;95414,52905;730,3620393;585,1310324;875,5930461;1277,778145;1205,387496;1350,168795;393,7114086;328,1888938;459,2339234;17076,93168;14441,92622;19711,93714
50;2023;?????????;94777,33796;94417,72644;95136,94948;701,1064352;527,9948743;874,2179961;1301,677884;1226,368711;1376,987057;384,363008;318,8179877;449,9080283;17954,23147;14719,89382;21188,56911
51;2024;?????????;94333,19332;93892,23655;94774,1501;697,4777079;493,507214;901,4482017;1313,553882;1236,902761;1390,205004;395,5005668;320,3843169;470,6168167;19049,8614;15486,6816;22613,0412
52;2025;?????????;93826,57647;93318,94585;94334,20708;718,0879664;492,4147444;943,7611883;1321,538441;1244,642709;1398,434172;409,2814518;329,8910882;488,6718154;20452,81657;16738,21428;24167,41885
53;2026;?????????;93336,97954;92768,35344;93905,60564;694,5926734;446,7807678;942,4045791;1338,638402;1260,892601;1416,384203;401,8315244;317,9456161;485,7174328;22085,8337;18321,49611;25850,1713
54;2027;?????????;92848,40059;92223,06949;93473,7317;716,6394933;448,3309499;984,9480368;1351,872607;1274,180959;1429,564255;392,4937862;308,4108307;476,5767417;23945,8671;20159,41185;27732,32236
55;2028;?????????;92332,11301;91656,31072;93007,9153;698,912875;413,2261991;984,599551;1362,674097;1284,948785;1440,39941;392,5238261;304,6476733;480,3999789;25960,53505;22165,42216;29755,64794
56;2029;?????????;91764,66211;91043,35028;92485,97393;692,1958484;388,339246;996,0524507;1377,182539;1299,184078;1455,181;401,8668777;311,1593815;492,5743738;28122,74701;24314,81104;31930,68297
57;2030;?????????;91180,0136;90414,82148;91945,20573;715,6622582;395,4031306;1035,921386;1390,582668;1312,681048;1468,484289;402,352391;307,0254819;497,6793001;30398,16647;26589,15724;34207,17569
58;2002;????????;93239;93239;93239;652;652;652;1260;1260;1260;327;327;327;13732,7948;13732,7948;13732,7948
59;2003;????????;92495;92495;92495;677;677;677;1318;1318;1318;376;376;376;15133,15748;15133,15748;15133,15748
60;2004;????????;91676;91676;91676;686;686;686;1201;1201;1201;270;270;270;16297,15958;16297,15958;16297,15958
61;2005;????????;91013;91013;91013;702;702;702;1203;1203;1203;348;348;348;16640,90315;16640,90315;16640,90315
62;2006;????????;90383;90383;90383;738;738;738;1183;1183;1183;346;346;346;18180,78385;18180,78385;18180,78385
63;2007;????????;90099;90099;90099;639;639;639;1253;1253;1253;351;351;351;18788,56781;18788,56781;18788,56781
64;2008;????????;89643;89643;89643;703;703;703;1211;1211;1211;271;271;271;18382,01051;18382,01051;18382,01051
65;2009;????????;89320;89320;89320;750;750;750;1186;1186;1186;379;379;379;18804,68532;18804,68532;18804,68532
66;2010;????????;89010;89010;89010;739;739;739;1170;1170;1170;337;337;337;18157,82136;18157,82136;18157,82136
67;2011;????????;88582;88582;88582;673;673;673;1079;1079;1079;358;358;358;17149,94873;17149,94873;17149,94873
68;2012;????????;87867;87867;87867;668;668;668;1208;1208;1208;277;277;277;16944,07721;16944,07721;16944,07721
69;2013;????????;86820;86820;86820;579;579;579;1105;1105;1105;278;278;278;17218,1718;17218,1718;17218,1718
70;2014;????????;85840;85840;85840;565;565;565;1069;1069;1069;323;323;323;16864,9994;16864,9994;16864,9994
71;2015;????????;84996;84996;84996;570;570;570;1094;1094;1094;278;278;278;17455,65391;17455,65391;17455,65391
72;2016;????????;84130;84130;84130;531;531;531;1138;1138;1138;285;285;285;17559,51983;17559,51983;17559,51983
73;2017;????????;83251;83251;83251;525;525;525;1112;1112;1112;299;299;299;18177,29985;18177,29985;18177,29985
74;2018;????????;82436;82436;82436;526;526;526;1065;1065;1065;317;317;317;17961,57628;17961,57628;17961,57628
75;2019;????????;81680;81680;81680;503;503;503;1109;1109;1109;272;272;272;18453,75347;18453,75347;18453,75347
76;2020;????????;80916;80916;80916;533;533;533;1233;1233;1233;200;200;200;18622,15968;17779,31458;19465,00477
77;2021;????????;80080;80080;80080;540,6235492;469,5820002;611,6650982;1186,488368;1086,998314;1285,978422;296,8814469;236,0937371;357,6691567;18896,67095;17763,27156;20030,07034
78;2022;????????;79084,33449;78828,01958;79340,64941;543,4299725;435,0451768;651,8147682;1179,633409;1072,118058;1287,148761;304,7157692;242,5274733;366,9040651;19221,33497;17528,83161;20913,83834
79;2023;????????;78055,05264;77678,14765;78431,95763;550,3513976;431,8360272;668,8667681;1212,204796;1094,274404;1330,135187;279,674009;216,4012189;342,9467991;19549,5992;17228,53428;21870,66411
80;2024;????????;77000,67006;76540,69325;77460,64687;546,7302273;399,9846393;693,4758152;1277,108654;1148,724748;1405,492561;297,1235411;220,8424337;373,4046485;19867,11936;17010,98135;22723,25737
81;2025;????????;75861,78409;75322,52436;76401,04381;560,3078461;375,629953;744,9857393;1273,824877;1124,088181;1423,561573;294,7793314;218,276803;371,2818598;20177,05747;16890,62378;23463,49116
82;2026;????????;74652,9589;74049,23064;75256,68717;559,4908575;340,2355046;778,7462105;1241,166413;1076,878013;1405,454813;298,9499559;220,062292;377,8376198;20485,08121;16837,61955;24132,54287
83;2027;????????;73416,06648;72747,73725;74084,39571;559,1165952;312,8400417;805,3931486;1270,845651;1103,641277;1438,050026;285,1633508;204,6969974;365,6297042;20793,88112;16824,76936;24762,99288
84;2028;????????;72121,85736;71397,69176;72846,02296;550,8000928;282,7938427;818,806343;1296,121297;1122,886315;1469,356279;297,5975313;210,9410388;384,2540238;21103,65666;16836,79693;25370,51639
85;2029;????????;70755,72318;69974,94064;71536,50573;555,4655308;268,2107414;842,7203202;1292,365077;1113,86023;1470,869924;293,446694;206,302794;380,590594;21413,83538;16867,01363;25960,65713
86;2030;????????;69316,19986;68484,72606;70147,67367;553,2992663;247,7660484;858,8324841;1263,598106;1081,65801;1445,538203;296,3594661;206,5471934;386,1717389;21724,01131;16912,57362;26535,449
87;2002;?????;74370;74370;74370;473;473;473;920;920;920;288;288;288;9774,915235;9774,915235;9774,915235
88;2003;?????;73812;73812;73812;498;498;498;897;897;897;289;289;289;10703,07612;10703,07612;10703,07612
89;2004;?????;73277;73277;73277;503;503;503;926;926;926;250;250;250;10656,64464;10656,64464;10656,64464
90;2005;?????;72719;72719;72719;504;504;504;906;906;906;299;299;299;11354,50819;11354,50819;11354,50819
91;2006;?????;72210;72210;72210;577;577;577;893;893;893;307;307;307;12183,67773;12183,67773;12183,67773
92;2007;?????;71918;71918;71918;516;516;516;902;902;902;294;294;294;12511,73633;12511,73633;12511,73633
93;2008;?????;71566;71566;71566;566;566;566;899;899;899;229;229;229;12601,31956;12601,31956;12601,31956
94;2009;?????;71204;71204;71204;539;539;539;905;905;905;303;303;303;12812,1042;12812,1042;12812,1042
95;2010;?????;70782;70782;70782;547;547;547;919;919;919;270;270;270;13169,2633;13169,2633;13169,2633
96;2011;?????;70232;70232;70232;561;561;561;934;934;934;279;279;279;12296,1043;12296,1043;12296,1043
97;2012;?????;69492;69492;69492;480;480;480;971;971;971;246;246;246;11687,16604;11687,16604;11687,16604
98;2013;?????;68451;68451;68451;484;484;484;966;966;966;249;249;249;11607,99068;11607,99068;11607,99068
99;2014;?????;67489;67489;67489;420;420;420;886;886;886;215;215;215;11406,49515;11406,49515;11406,49515
100;2015;?????;66611;66611;66611;477;477;477;1009;1009;1009;419;419;419;11276,43573;11276,43573;11276,43573
101;2016;?????;65657;65657;65657;425;425;425;897;897;897;377;377;377;11189,35615;11189,35615;11189,35615
102;2017;?????;64798;64798;64798;441;441;441;973;973;973;399;399;399;11114,29202;11114,29202;11114,29202
103;2018;?????;63924;63924;63924;385;385;385;1003;1003;1003;349;349;349;11555,81398;11555,81398;11555,81398
104;2019;?????;62973;62973;62973;399;399;399;1010;1010;1010;336;336;336;11898,76244;11898,76244;11898,76244
105;2020;?????;62091;62091;62091;395;395;395;1019;1019;1019;223;223;223;12097,97973;11119,83237;13076,12708
106;2021;?????;61245;61245;61245;392,2290245;344,4712069;439,9868422;1025,775688;956,1347852;1095,416591;271,4378154;156,0459967;386,829634;12297,2283;10915,32115;13679,13544
107;2022;?????;60419,39895;60201,7836;60637,0143;377,631805;322,4350203;432,8285897;1048,104985;976,3683328;1119,841637;272,3370388;137,3389613;407,3351163;12496,50809;10805,73873;14187,27745
108;2023;?????;59611,4183;59151,14882;60071,68779;352,1208019;268,3589441;435,8826597;1045,644284;955,6068853;1135,681683;273,262387;121,5308766;424,9938974;12695,81905;10745,46294;14646,17516
109;2024;?????;58818,658;58087,64416;59549,67184;340,5839727;253,9811166;427,1868288;1074,371049;971,8532369;1176,888862;274,2135622;107,7452368;440,6818875;12895,1611;10716,80239;15073,51982
110;2025;?????;58039,04488;57021,28227;59056,80748;321,9647659;226,6153783;417,3141535;1072,538863;958,7749182;1186,302808;275,1902701;95,4830063;454,897534;13094,53419;10710,67393;15478,39445
111;2026;?????;57270,78818;55957,97242;58583,60393;305,450877;204,8474593;406,0542948;1100,714643;969,3164443;1232,112842;276,1922199;84,42712689;467,9573129;13293,93825;10721,6759;15866,2006
112;2027;?????;56512,34106;54901,27276;58123,40935;287,0334174;180,3526447;393,71419;1103,890459;961,1865341;1246,594383;277,2191239;74,3607814;480,0774664;13493,37322;10746,28501;16240,46143
113;2028;?????;55762,36737;53853,31656;57671,41819;268,4616125;156,4918333;380,4313916;1130,046628;969,0542665;1291,038989;278,2706977;65,12762584;491,4137697;13692,83904;10782,05131;16603,62677
114;2029;?????;55019,71298;52815,3304;57224,09556;248,9722285;131,7621443;366,1823127;1138,695344;964,8171192;1312,573569;279,3466604;56,61030385;502,0830169;13892,33564;10827,18906;16957,48222
115;2030;?????;54283,38095;51787,94613;56778,81577;228,8983022;106,7523089;351,0442955;1163,636529;971,7814932;1355,491566;280,4467338;48,71790508;512,1755626;14091,86296;10880,34869;17303,37723
116;2002;??????;3894259;3894259;3894259;37481;37481;37481;33410;33410;33410;21146;21146;21146;19310,08533;19310,08533;19310,08533
117;2003;??????;3916875;3916875;3916875;38446;38446;38446;34165;34165;34165;22833;22833;22833;21011,91445;21011,91445;21011,91445
118;2004;??????;3935254;3935254;3935254;38901;38901;38901;34182;34182;34182;18444;18444;18444;23025,90104;23025,90104;23025,90104
119;2005;??????;3952793;3952793;3952793;39182;39182;39182;34234;34234;34234;22852;22852;22852;23734,5593;23734,5593;23734,5593
120;2006;??????;3971441;3971441;3971441;40925;40925;40925;33959;33959;33959;20950;20950;20950;26234,03625;26234,03625;26234,03625
121;2007;??????;3982602;3982602;3982602;41218;41218;41218;35880;35880;35880;22868;22868;22868;28095,59937;28095,59937;28095,59937
122;2008;??????;3990727;3990727;3990727;42899;42899;42899;34858;34858;34858;18954;18954;18954;29215,07497;29215,07497;29215,07497
123;2009;??????;3999457;3999457;3999457;42831;42831;42831;35443;35443;35443;21480;21480;21480;28991,72841;28991,72841;28991,72841
124;2010;??????;4002871;4002871;4002871;41869;41869;41869;35564;35564;35564;20446;20446;20446;27199,17485;27199,17485;27199,17485
125;2011;??????;3992912;3992912;3992912;39564;39564;39564;36472;36472;36472;19771;19771;19771;24796,11137;24796,11137;24796,11137
126;2012;??????;3963887;3963887;3963887;37266;37266;37266;37917;37917;37917;17091;17091;17091;22889,64784;22889,64784;22889,64784
127;2013;??????;3912849;3912849;3912849;34715;34715;34715;36881;36881;36881;17964;17964;17964;22157,65656;22157,65656;22157,65656
128;2014;??????;3863763;3863763;3863763;34453;34453;34453;37354;37354;37354;18514;18514;18514;22022,72106;22022,72106;22022,72106
129;2015;??????;3822843;3822843;3822843;34265;34265;34265;40214;40214;40214;18703;18703;18703;21992,40118;21992,40118;21992,40118
130;2016;??????;3781274;3781274;3781274;34571;34571;34571;39510;39510;39510;16774;16774;16774;21974,67169;21974,67169;21974,67169
131;2017;??????;3773559;3773559;3773559;32968;32968;32968;41342;41342;41342;17036;17036;17036;22452,89516;22452,89516;22452,89516
132;2018;??????;3756453;3756453;3756453;32351;32351;32351;39887;39887;39887;15789;15789;15789;22854,07427;22854,07427;22854,07427
133;2019;??????;3742235;3742235;3742235;31137;31137;31137;41062;41062;41062;16018;16018;16018;23341,39731;23341,39731;23341,39731
134;2020;??????;3738901;3738901;3738901;31256;31256;31256;42362;42362;42362;11293;11293;11293;24025,5938;22247,46902;25803,71858
135;2021;??????;3736737;3736737;3736737;22688,45786;18966,96013;26409,95559;42336,61513;40455,68728;44217,54298;15645,88871;9517,895143;21773,88228;24830,07274;22115,28944;27544,85605
136;2022;??????;3700814,021;3682139,885;3719488,156;30026,67693;26297,45782;33755,89605;42991,33561;40899,47908;45083,19214;15472,16949;7398,952166;23545,38681;25706,25255;22150,74174;29261,76335
137;2023;??????;3678933,682;3652469,25;3705398,113;30464,52898;26621,97073;34307,08723;43297,07073;40774,09754;45820,04392;15353,18374;5871,548861;24834,81863;26606,23485;22261,3619;30951,1078
138;2024;??????;3656463,697;3623991,722;3688935,672;29507,40947;25625,44303;33389,37591;43781,88475;41006,64034;46557,12916;15215,07383;4462,355391;25967,79228;27486,12832;22399,27989;32572,97674
139;2025;??????;3629841,282;3592280,41;3667402,153;30008,71756;26074,18;33943,25513;44174,80849;41115,95882;47233,65816;15083,64601;3209,698837;26957,59318;28308,69355;22532,92999;34084,4571
140;2026;??????;3602301,89;3560264,318;3644339,463;29081,51297;25102,76154;33060,2644;44614,88619;41322,03162;47907,74077;14949,88343;2047,082617;27852,68424;29045,20159;22640,55605;35449,84713
141;2027;??????;3571428,254;3525362,435;3617494,073;29553,9929;25532,55917;33575,42662;45030,76915;41507,48025;48554,05805;14816,93662;963,0107367;28670,86251;29676,46714;22708,0937;36644,84058
142;2028;??????;3540638,778;3490886,737;3590390,82;28664,41514;24603,47409;32725,35619;45459,069;41725,46283;49192,67518;14683,70478;-60,62143223;29428,031;30193,08081;22728,21009;37657,95153
143;2029;??????;3506776,281;3453594,222;3559958,341;29099,88315;25001,85948;33197,90683;45880,99897;41945,52919;49816,46876;14550,57253;-1033,196014;30134,34108;30594,91893;22699,6091;38490,22877
144;2030;??????;3472298,563;3415887,556;3528709,571;28247,30794;24114,59588;32380,02001;46306,19925;42180,19153;50432,20697;14417,40549;-1962,898169;30797,70914;30890,05139;22626,30203;39153,80075
145;2002;??????;320180;320180;320180;3155;3155;3155;2849;2849;2849;1550;1550;1550;12841,28647;12841,28647;12841,28647
146;2003;??????;319173;319173;319173;3320;3320;3320;2931;2931;2931;1712;1712;1712;14008,30339;14008,30339;14008,30339
147;2004;??????;318384;318384;318384;3296;3296;3296;2928;2928;2928;1481;1481;1481;15282,31263;15282,31263;15282,31263
148;2005;??????;317933;317933;317933;3315;3315;3315;3021;3021;3021;1793;1793;1793;15544,10853;15544,10853;15544,10853
149;2006;??????;317595;317595;317595;3307;3307;3307;3018;3018;3018;1644;1644;1644;17778,22754;17778,22754;17778,22754
150;2007;??????;317034;317034;317034;3246;3246;3246;3107;3107;3107;1850;1850;1850;18612,7803;18612,7803;18612,7803
151;2008;??????;316409;316409;316409;3562;3562;3562;3016;3016;3016;1583;1583;1583;18733,16726;18733,16726;18733,16726
152;2009;??????;316121;316121;316121;3636;3636;3636;3053;3053;3053;1770;1770;1770;17775,85734;17775,85734;17775,85734
153;2010;??????;315837;315837;315837;3535;3535;3535;3107;3107;3107;1621;1621;1621;17340,90717;17340,90717;17340,90717
154;2011;??????;315165;315165;315165;3292;3292;3292;3013;3013;3013;1584;1584;1584;15221,59419;15221,59419;15221,59419
155;2012;??????;313940;313940;313940;3026;3026;3026;3221;3221;3221;1582;1582;1582;14133,95097;14133,95097;14133,95097
156;2013;??????;311511;311511;311511;2947;2947;2947;3023;3023;3023;1635;1635;1635;12944,67043;12944,67043;12944,67043
157;2014;??????;309389;309389;309389;2866;2866;2866;3097;3097;3097;1434;1434;1434;12929,79644;12929,79644;12929,79644
158;2015;??????;307412;307412;307412;2813;2813;2813;3256;3256;3256;1453;1453;1453;12837,74202;12837,74202;12837,74202
159;2016;??????;305183;305183;305183;2811;2811;2811;3183;3183;3183;1350;1350;1350;12618,85525;12618,85525;12618,85525
160;2017;??????;303224;303224;303224;2694;2694;2694;3293;3293;3293;1317;1317;1317;12728,52526;12728,52526;12728,52526
161;2018;??????;301145;301145;301145;2533;2533;2533;3257;3257;3257;1245;1245;1245;12926,5349;12926,5349;12926,5349
162;2019;??????;298996;298996;298996;2454;2454;2454;3376;3376;3376;1238;1238;1238;13423,47809;13423,47809;13423,47809
163;2020;??????;296945;296945;296945;2573;2573;2573;3377;3377;3377;891;891;891;13916,81407;12524,92964;15308,69851
164;2021;??????;295119;295119;295119;1879,749304;1585,670533;2173,828076;3385,686389;3278,308778;3493,064;1065,459923;884,010166;1246,909679;14334,70529;11807,24206;16862,16852
165;2022;??????;293411,9722;291506,6228;295317,3217;2096,406115;1765,652759;2427,159471;3468,888425;3350,307531;3587,469318;792,4696395;603,4584969;981,4807822;14640,63948;11240,94238;18040,33658
166;2023;??????;289400,6639;286707,4808;292093,847;1591,392512;1259,222815;1923,562208;3442,394455;3310,72941;3574,059501;822,3068288;582,4350678;1062,17859;14826,95881;10859,10587;18794,81174
167;2024;??????;286753,5398;283458,2934;290048,7861;1631,222865;1292,296122;1970,149608;3528,375068;3362,454051;3694,296085;581,6536593;276,1472665;887,1600522;14906,29212;10631,05047;19181,53377
168;2025;??????;283038,6543;279234,3195;286842,9892;1166,659768;820,0097867;1513,309749;3541,040869;3370,870211;3711,211526;624,5227028;226,0994451;1022,945961;14902,86397;10499,45966;19306,26828
169;2026;??????;280481,429;276226,6512;284736,2069;1238,254;884,237232;1592,270769;3584,134583;3384,182033;3784,087133;397,5720075;-95,2634354;890,4074504;14845,00876;10408,38178;19281,63574
170;2027;??????;276054,6657;271393,8542;280715,4772;799,0430531;438,23484;1159,851266;3649,173584;3440,134214;3858,212954;452,7629691;-150,6062297;1056,132168;14759,59331;10321,3068;19197,87982
171;2028;??????;273284,704;268251,9075;278317,5005;896,3435668;529,3095132;1263,37762;3668,614269;3444,600819;3892,627719;237,2185991;-473,1070027;947,5442009;14668,532;10226,76618;19110,29782
172;2029;??????;269134,1156;263753,9633;274514,2678;478,9254718;106,183214;851,6677296;3750,306277;3508,074572;3992,537982;302,7897792;-525,4035433;1130,983102;14587,20698;10131,90956;19042,50439
173;2030;??????;266227,7465;260520,252;271935,2411;597,7993267;219,8170688;975,7815847;3787,340424;3536,726066;4037,954781;96,85356522;-843,8884646;1037,595595;14524,38677;10050,33397;18998,43956
174;2002;????????;119143;119143;119143;1038;1038;1038;1286;1286;1286;528;528;528;21864,08355;21864,08355;21864,08355
175;2003;????????;118430;118430;118430;1174;1174;1174;1259;1259;1259;579;579;579;23661,53971;23661,53971;23661,53971
176;2004;????????;118098;118098;118098;1106;1106;1106;1232;1232;1232;461;461;461;23850,13948;23850,13948;23850,13948
177;2005;????????;117892;117892;117892;1108;1108;1108;1237;1237;1237;565;565;565;23746,95268;23746,95268;23746,95268
178;2006;????????;117904;117904;117904;1158;1158;1158;1222;1222;1222;529;529;529;24767,06917;24767,06917;24767,06917
179;2007;????????;118285;118285;118285;1197;1197;1197;1401;1401;1401;501;501;501;24752,95157;24752,95157;24752,95157
180;2008;????????;118533;118533;118533;1244;1244;1244;1257;1257;1257;454;454;454;25103,23191;25103,23191;25103,23191
181;2009;????????;119184;119184;119184;1135;1135;1135;1292;1292;1292;518;518;518;24726,45789;24726,45789;24726,45789
182;2010;????????;119807;119807;119807;1255;1255;1255;1348;1348;1348;507;507;507;24773,21801;24773,21801;24773,21801
183;2011;????????;120402;120402;120402;1057;1057;1057;1290;1290;1290;497;497;497;23920,39801;23920,39801;23920,39801
184;2012;????????;120647;120647;120647;1073;1073;1073;1392;1392;1392;412;412;412;23137,62287;23137,62287;23137,62287
185;2013;????????;120553;120553;120553;978;978;978;1279;1279;1279;491;491;491;21857,88017;21857,88017;21857,88017
186;2014;????????;120524;120524;120524;984;984;984;1233;1233;1233;475;475;475;19648,86008;19648,86008;19648,86008
187;2015;????????;120533;120533;120533;941;941;941;1294;1294;1294;491;491;491;20267,84222;20267,84222;20267,84222
188;2016;????????;120432;120432;120432;976;976;976;1313;1313;1313;415;415;415;22088,31084;22088,31084;22088,31084
189;2017;????????;121004;121004;121004;916;916;916;1424;1424;1424;479;479;479;22401,58517;22401,58517;22401,58517
190;2018;????????;121493;121493;121493;922;922;922;1333;1333;1333;382;382;382;22375,64445;22375,64445;22375,64445
191;2019;????????;122256;122256;122256;810;810;810;1388;1388;1388;420;420;420;23228,24529;23228,24529;23228,24529
192;2020;????????;122969;122969;122969;867;867;867;1392;1392;1392;324;324;324;23785,94569;22541,4391;25030,45228
